condition,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p25_ms,p75_ms,p95_ms,p99_ms,ci95_lower_ms,ci95_upper_ms,service_a_compute_ms_mean,service_b_compute_ms_mean,boundary_crossing_ms_mean,activation_bytes_mean,baseline_condition,baseline_mean_latency_ms,mean_latency_ms,absolute_overhead_ms,pct_overhead_vs_baseline,latency_rank,estimated_compute_ms,inferred_non_compute_overhead_ms,inferred_non_compute_pct
split_after_layer3_block0,1000,80.15700823099449,79.37906999995903,2.5644177363139242,77.74283800017656,94.03027799999109,78.49443674990653,78.91836325006807,79.98458550002852,87.36794834987904,90.024432969999,79.99787409451368,80.31614236747531,46.18070124699807,31.874534070012487,33.97083337299591,200704.0,monolithic,77.56511658500223,80.15700823099449,2.5918916459922627,3.341568684618497,2,,,
split_after_layer3,1000,80.39160023798695,79.6865259999322,2.474798462136384,77.96045499981119,110.24238200025138,78.72241269983533,79.20887824991496,80.3088017501068,87.20319564961301,88.48685680992276,80.23802739739266,80.54517307858124,54.22211243700167,24.063326839992442,26.16423661499448,200704.0,monolithic,77.56511658500223,80.39160023798695,2.82648365298472,3.64401392975053,4,,,
split_after_layer2,1000,80.34811716400462,79.57038749987078,2.509823252686883,77.801155999623,93.93180000006396,78.64629799987597,79.10466724979415,80.21653275000062,87.33190469984038,89.5136553297425,80.19237087104304,80.5038634569662,39.479598349998476,38.23788007400344,40.86326962700059,401408.0,monolithic,77.56511658500223,80.34811716400462,2.7830005790023904,3.587953839987528,3,,,
monolithic,1000,77.56511658500223,75.64133649975702,3.6627041976339356,74.0553259997796,97.69217899975047,74.54976705000718,75.01450400025078,82.32076374997632,84.03541159987071,85.78112532987689,77.33782862741973,77.79240454258473,77.56511658500223,0.0,0.0,0.0,monolithic,77.56511658500223,77.56511658500223,0.0,0.0,1,,,
