LAST SEEN   TYPE     REASON              OBJECT                                                 MESSAGE
100s        Normal   Scheduled           pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Successfully assigned rq21-ms-l1-mtls/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl to aks-rq15pool-53575030-vmss000000
100s        Normal   Scheduled           pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Successfully assigned rq21-ms-l1-mtls/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb to aks-rq15pool-53575030-vmss000000
101s        Normal   ScalingReplicaSet   deployment/chain-2svc-split-l1-mtls-svc-1              Scaled up replica set chain-2svc-split-l1-mtls-svc-1-84fbdcc666 from 0 to 1
101s        Normal   SuccessfulCreate    replicaset/chain-2svc-split-l1-mtls-svc-1-84fbdcc666   Created pod: chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl
100s        Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
100s        Normal   Created             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Created container: istio-init
100s        Normal   Started             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Started container istio-init
100s        Normal   ScalingReplicaSet   deployment/chain-2svc-split-l1-mtls-svc-2              Scaled up replica set chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d from 0 to 1
100s        Normal   SuccessfulCreate    replicaset/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d   Created pod: chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb
100s        Normal   Started             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Started container istio-init
100s        Normal   Created             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Created container: istio-init
100s        Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
99s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Started container istio-proxy
99s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Created container: istio-proxy
99s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
99s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Created container: istio-proxy
99s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Started container istio-proxy
99s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
97s         Normal   Pulling             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
97s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Started container inference
97s         Normal   Pulling             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
97s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 201ms (201ms including waiting). Image size: 413013146 bytes.
97s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Created container: inference
97s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-kwljb    Started container inference
97s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 212ms (212ms including waiting). Image size: 413013146 bytes.
97s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-5kjnl    Created container: inference
