LAST SEEN   TYPE     REASON              OBJECT                                                 MESSAGE
71s         Normal   Scheduled           pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Successfully assigned rq21-ms-l1-mtls/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc to aks-rq15pool-53575030-vmss000000
71s         Normal   Scheduled           pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Successfully assigned rq21-ms-l1-mtls/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79 to aks-rq15pool-53575030-vmss000000
72s         Normal   ScalingReplicaSet   deployment/chain-2svc-split-l1-mtls-svc-2              Scaled up replica set chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d from 0 to 1
72s         Normal   SuccessfulCreate    replicaset/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d   Created pod: chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79
72s         Normal   ScalingReplicaSet   deployment/chain-2svc-split-l1-mtls-svc-1              Scaled up replica set chain-2svc-split-l1-mtls-svc-1-84fbdcc666 from 0 to 1
72s         Normal   SuccessfulCreate    replicaset/chain-2svc-split-l1-mtls-svc-1-84fbdcc666   Created pod: chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc
71s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Started container istio-proxy
71s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Created container: istio-init
71s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
71s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Created container: istio-init
71s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Started container istio-init
71s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Created container: istio-proxy
71s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
71s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Started container istio-init
71s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
70s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
70s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Created container: istio-proxy
70s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Started container istio-proxy
69s         Normal   Pulling             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
69s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Started container inference
69s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Created container: inference
69s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-6rztc    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 127ms (127ms including waiting). Image size: 413013146 bytes.
68s         Normal   Pulling             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
68s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 140ms (140ms including waiting). Image size: 413013146 bytes.
68s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Created container: inference
68s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-47s79    Started container inference
