row_type,condition_key,split_key,security_mode,condition,n,mean_ms,median_ms,p95_ms,p99_ms,non_compute_overhead_ms_mean,total_compute_ms_mean,total_activation_bytes_mean,protected_hop_activation_bytes_mean,protected_hop_forward_ms_mean,mean_latency_overhead_ms,mean_latency_overhead_pct,p95_latency_overhead_ms,non_compute_overhead_delta_ms,total_compute_delta_ms
condition,l1_plain,l1,plain,chain_2svc_split_l1_plain,1000,58.751997384021706,58.527259499669526,61.92655709974133,66.18992770020668,6.178420845042183,52.57357653897953,1404928.0,802816.0,0.0,,,,,
condition,l1_mtls,l1,mtls,chain_2svc_split_l1_mtls,1000,63.172091544993684,62.832226999944396,67.2859242999948,71.17278337021162,10.431201147993306,52.74089039700039,1404928.0,802816.0,0.0,,,,,
condition,l2_plain,l2,plain,chain_2svc_split_l2_plain,1000,59.31743288999633,59.01785799960635,62.91714300032254,66.55699710049703,5.377284186998168,53.94014870299816,1003520.0,401408.0,0.0,,,,,
condition,l2_mtls,l2,mtls,chain_2svc_split_l2_mtls,1000,63.00445295601049,62.741300000425326,67.08932755013846,71.22223717998622,8.858731174997502,54.14572178101298,1003520.0,401408.0,0.0,,,,,
condition,l3_plain,l3,plain,chain_2svc_split_l3_plain,1000,57.99178594000704,57.691540499945404,61.87984075049826,66.88638907990935,4.955721888998596,53.036064051008445,802816.0,200704.0,0.0,,,,,
condition,l3_mtls,l3,mtls,chain_2svc_split_l3_mtls,1000,61.473175322007144,61.165032499957306,65.3079850006634,69.07424004939003,7.98180519100697,53.49137013100016,802816.0,200704.0,0.0,,,,,
condition,l4_plain,l4,plain,chain_2svc_split_l4_plain,1000,56.81526273099052,56.66678149964355,59.9247097994521,63.47612103026222,4.508112368996535,52.30715036199399,702464.0,100352.0,0.0,,,,,
condition,l4_mtls,l4,mtls,chain_2svc_split_l4_mtls,1000,59.40124040699674,59.119761000147264,62.8427850497701,66.34147620040949,7.0682199309962925,52.333020476000456,702464.0,100352.0,0.0,,,,,
split_pair_delta,,l1,,split_after_layer1,,,,,,,,,,,4.420094160971978,7.523308751668201,5.359367200253473,4.252780302951123,0.16731385802086152
split_pair_delta,,l2,,split_after_layer2,,,,,,,,,,,3.6870200660141563,6.215744489232539,4.172184549815924,3.481446987999334,0.20557307801482239
split_pair_delta,,l3,,split_after_layer3,,,,,,,,,,,3.4813893820001027,6.003245676209433,3.4281442501651327,3.0260833020083737,0.4553060799917148
split_pair_delta,,l4,,split_after_layer4,,,,,,,,,,,2.585977676006223,4.551554550139699,2.9180752503179974,2.5601075619997573,0.025870114006465883
