round,condition,iteration,end_to_end_ms,total_compute_ms,non_compute_overhead_ms,total_activation_bytes,num_hops,hop_1_compute_ms,hop_1_deserialize_ms,hop_1_serialize_ms,hop_1_forward_ms,hop_1_activation_bytes,hop_2_compute_ms,hop_2_deserialize_ms,hop_2_serialize_ms,hop_2_forward_ms,hop_2_activation_bytes,hop_3_compute_ms,hop_3_deserialize_ms,hop_3_serialize_ms,hop_3_forward_ms,hop_3_activation_bytes,hop_4_compute_ms,hop_4_deserialize_ms,hop_4_serialize_ms,hop_4_forward_ms,hop_4_activation_bytes,hop_5_compute_ms,hop_5_deserialize_ms,hop_5_serialize_ms,hop_5_forward_ms,hop_5_activation_bytes,paired_pass,condition_key,execution_index
1,chain_2svc_split_l3_plain,1,58.67890699983036,53.84695000020656,4.831956999623799,802816,1,38.197361000129604,0.25170299977617105,0.07900099990365561,17.667612999957782,602112,15.649589000076958,0.1309009999204136,0.03100000003541936,0.0,200704,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,l3_plain,1
1,chain_2svc_split_l3_plain,2,59.090912000101525,53.98465000007491,5.106262000026618,802816,1,38.11155899984442,0.2784029998110782,0.05740100004913984,17.991416999848298,602112,15.873091000230488,0.15000199982750928,0.02880000010918593,0.0,200704,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,l3_plain,1
1,chain_2svc_split_l3_plain,3,55.97927500002697,51.09431600021708,4.884958999809896,802816,1,35.493528000188235,0.2763029997367994,0.05980099967928254,17.74591399998826,602112,15.600788000028842,0.1299020000260498,0.028200000087963417,0.0,200704,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,l3_plain,1
1,chain_2svc_split_l3_plain,4,59.585916999822075,54.82176000032268,4.7641569994993915,802816,1,38.35506199993688,0.255702999766072,0.07570100024167914,18.497123000088322,602112,16.466698000385804,0.16870199988261447,0.025800999992497964,0.0,200704,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,l3_plain,1
1,chain_2svc_split_l3_plain,5,58.19720099998449,53.31404199978351,4.883159000200976,802816,1,37.713954000082595,0.2785030001177802,0.05730099974243785,17.666112999904726,602112,15.600087999700918,0.13210200040703057,0.027200000204175012,0.0,200704,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,l3_plain,1
1,chain_2svc_split_l3_plain,6,57.50779300024078,52.68233400011013,4.82545900013065,802816,1,37.39255000027697,0.24980299986054888,0.10160199963138439,17.287208000198007,602112,15.289783999833162,0.1315019999310607,0.027100000352220377,0.0,200704,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,l3_plain,1
1,chain_2svc_split_l3_plain,7,58.510805000423716,53.59184600001754,4.918959000406176,802816,1,37.82075600020107,0.2564029996392492,0.05930099996476201,17.92141600026298,602112,15.771089999816468,0.13420200002656202,0.02900000026784255,0.0,200704,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,l3_plain,1
1,chain_2svc_split_l3_plain,8,60.09162299960735,55.1541649997489,4.937457999858452,802816,1,38.63426599991726,0.24880199998733588,0.059700999827327905,18.65402500015989,602112,16.51989899983164,0.13230200011093984,0.0297000001410197,0.0,200704,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,l3_plain,1
1,chain_2svc_split_l3_plain,9,60.36002800010465,55.540970000038214,4.819058000066434,802816,1,38.31566200005909,0.2533030001359293,0.07750099985059933,19.19083100028729,602112,17.225307999979123,0.1309009999204136,0.028000000384054147,0.0,200704,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,l3_plain,1
1,chain_2svc_split_l3_plain,10,61.06493600009344,56.317578999824036,4.747357000269403,802816,1,39.841880000039964,0.2541029998610611,0.042300000131945126,18.564823999895452,602112,16.475698999784072,0.14020200023878715,0.03950000018448918,0.0,200704,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,l3_plain,1
