round,condition,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms
1,monolithic,200,77.48145304500667,75.54936099995757,3.6876548810168583,74.01300000014999,94.98854299999948,83.41731380005513
1,split_after_layer1,200,80.27045709000504,80.12768550008786,0.8803954144776852,78.8833629999317,83.49264000003132,82.03191464983774
1,split_after_layer2,200,79.60504484500234,79.29790050013708,1.59212025081473,78.05693299997074,90.74957600000744,81.75413799984881
1,split_after_layer3,200,78.74440352000079,78.38458749995425,1.5262046257256379,76.88851700004307,88.25909100005447,80.97216365000577
1,split_after_layer4,200,78.85209290500825,78.39296350005043,1.9172714548754246,77.03903700007686,89.90845300013461,83.22390719999929
2,monolithic,200,77.18251075500007,75.2905764999241,3.4996064791742194,73.82635299995854,86.60284400002638,83.27249645002439
2,split_after_layer1,200,80.89163069501183,80.042877999972,2.606903072706588,78.90260099998159,91.73232900002404,88.19379175000677
2,split_after_layer2,200,80.11349239500078,79.53765249999378,2.1299193934390073,77.90520000003198,89.57267599998886,86.78802544984592
2,split_after_layer3,200,79.49145682499534,78.69760350001798,2.4891695452814195,77.1616689999064,89.34383300015725,86.0029593999684
2,split_after_layer4,200,79.63944094998851,78.82289900010164,2.4837171797250908,77.69005000000107,89.80050900004244,86.5910946501117
3,monolithic,200,77.24635422999654,75.24750649997713,3.557472185249323,74.05697500007591,89.09640499996385,83.26782605012113
3,split_after_layer1,200,81.25412236499074,80.49004800000148,2.5751715289107615,78.92834199992649,92.10667800016381,88.86016290000498
3,split_after_layer2,200,81.37953917500454,80.62989050006308,2.4978472410712476,79.36872400000539,91.22699599993211,89.19202520008866
3,split_after_layer3,200,79.0185525499885,78.19288650000544,2.497529934679021,76.97763400005897,88.0887209998491,86.30922059991234
3,split_after_layer4,200,79.85028691000252,79.03704400007427,2.5431098565364536,77.29702000006,90.60723300012796,86.84272614993915
4,monolithic,200,77.00870741500694,75.02083950009819,3.6546205846799333,73.81910300000527,84.64024700015216,83.6115839500394
4,split_after_layer1,200,80.97579988500001,80.28958950012566,2.3079311179045083,78.65097500007323,90.0063730000511,87.93023260011523
4,split_after_layer2,200,80.49758147500143,79.75742450003054,2.3939939370131462,78.11525300007816,89.00597199999538,87.42264249985965
4,split_after_layer3,200,79.10358466000275,78.32796700006384,2.561893256901828,76.94742699982271,89.96705599997767,86.02851345006002
4,split_after_layer4,200,79.91079939500082,79.08334649994231,2.6403350560608625,77.4796549999337,94.70291499997074,86.32226449997233
5,monolithic,200,77.26851007500841,75.38667599999371,3.5537989737101245,73.92334099995423,85.42573499994432,83.7000859999307
5,split_after_layer1,200,80.99486081498753,80.33355850000135,2.422967733924296,78.71960500006026,91.05265499988491,88.42006849980635
5,split_after_layer2,200,78.99225435499488,78.21255450005538,2.5846423295318726,76.51272699990841,90.53467300009288,86.48649624991549
5,split_after_layer3,200,79.0634292749985,78.3275205000109,2.2618488337678992,77.27692499997829,87.53436000006332,85.52534680007966
5,split_after_layer4,200,79.66272858999673,78.95470750008826,2.395384285496343,77.40054099986082,90.32901499995205,86.49998599996707
