round,condition,iteration,end_to_end_ms,service_a_compute_ms,service_b_compute_ms,boundary_crossing_ms,activation_bytes,request_serialize_ms,request_deserialize_ms,response_serialize_ms,response_deserialize_ms
1,split_after_layer1,1,83.49264000003132,29.258276000064143,50.197264999951585,54.22814799999287,802816,0.056435000033161486,0.3307150000182446,0.024794999944788287,0.08213700016312941
1,split_after_layer1,2,82.13450800008104,27.40871499986497,50.60913900001651,54.72013500002504,802816,0.06146299983811332,0.35278599989396753,0.026122000008399482,0.06104400017648004
1,split_after_layer1,3,80.26476199984245,27.390834000016184,48.87021200011077,52.869177999809835,802816,0.057552000043870066,0.32156599991139956,0.025982999886764446,0.0566440000966395
1,split_after_layer1,4,79.460428999937,26.60235600001215,48.98832100002437,52.852414999961184,802816,0.057760999879974406,0.3321119997963251,0.025493000066489913,0.05629500014947553
1,split_after_layer1,5,79.82795199995962,26.65034000006017,49.278455000148824,53.173282999978255,802816,0.05957799999123381,0.3011710000464518,0.03478299981907185,0.05957799999123381
1,split_after_layer1,6,79.95653700004368,26.843181000003824,49.54156100006912,53.108116999965205,802816,0.05866899982720497,0.2985870000884461,0.025213999833795242,0.05629499992210185
1,split_after_layer1,7,79.21680999993441,26.445972999908918,48.88578800000687,52.76559799995084,802816,0.060974000007263385,0.31171799992080196,0.024375000066356733,0.0808800000413612
1,split_after_layer1,8,80.20902499993099,26.611785999875792,49.742643999934444,53.59144299995933,802816,0.061463000065486995,0.3305059999547666,0.024306000113938353,0.05531700003302831
1,split_after_layer1,9,80.27795800012427,26.791425000055824,50.065394000057495,53.480946000036056,802816,0.0601369999913004,0.3434969999034365,0.024236999934146297,0.05622599996968347
1,split_after_layer1,10,78.96501499999431,26.461197999879005,49.19855000002826,52.49808999997185,802816,0.0601360000018758,0.299284999982774,0.024515999939467292,0.07040400009827863
1,split_after_layer1,11,79.10058399988884,26.518821000081516,48.85561300011432,52.57652499994947,802816,0.06146399982753792,0.3057110000099783,0.025842000013653887,0.05580600009125192
1,split_after_layer1,12,81.10499100007473,26.632317999883526,50.63574699988749,54.46778300006372,802816,0.06397800007107435,0.3474090001418517,0.02765900012491329,0.05524800008060993
1,split_after_layer1,13,81.4168479998898,26.505340000085198,51.03351399998246,54.90675799978817,802816,0.062092000007396564,0.3104600000369828,0.024864999886631267,0.059297999996488215
1,split_after_layer1,14,80.06807399988247,26.64866199984317,49.42547599989666,53.414243999895916,802816,0.10567499998614949,0.30354499995155493,0.026402000003145076,0.05852899994351901
1,split_after_layer1,15,79.58837999990465,26.616532999923948,49.00061100011044,52.96618900001704,802816,0.06146399982753792,0.299633999929938,0.024725000002945308,0.056643999869265826
1,split_after_layer1,16,80.70904100009102,26.89151300000958,49.786924000045474,53.812359000176,802816,0.06768000002921326,0.29202099995018216,0.024375000066356733,0.06432700001823832
1,split_after_layer1,17,79.24732900005438,26.5132330000597,48.808047999955306,52.72871700003634,802816,0.06146399982753792,0.34070299989252817,0.04099900002074719,0.05538699997487129
1,split_after_layer1,18,80.06884299993544,26.55527899992194,49.43846800006213,53.50839499988069,802816,0.05859999987478659,0.278330999890386,0.02905499991356919,0.05790199998045864
1,split_after_layer1,19,80.32475400000294,26.872374999811655,49.47548500012999,53.44756099998449,802816,0.05727300003854907,0.34258899995620595,0.026960000013787067,0.059787000054711825
1,split_after_layer1,20,79.33721800009153,26.727517000153966,48.70886799994878,52.60397400002148,802816,0.06027599988556176,0.3153499999370979,0.025214000061168917,0.05608500009657291
1,split_after_layer1,21,80.58094299985896,27.175919999990583,49.40361300009499,53.399294999962876,802816,0.06565500007127412,0.3182129999004246,0.025004999997690902,0.059926999938397785
1,split_after_layer1,22,79.5469580000372,26.84443599991937,48.903314000199316,52.697284000032596,802816,0.061533000007329974,0.3105299999788258,0.025213999833795242,0.06293000001278415
1,split_after_layer1,23,79.21875799979716,26.68518900009076,49.1910050000115,52.52791099997012,802816,0.06230200006029918,0.30347500000971195,0.025284000003011897,0.057272999811175396
1,split_after_layer1,24,79.23363400004746,26.28930900004889,48.932159999822034,52.938668000024336,802816,0.1612720000139234,0.32079700008580403,0.025773000061235507,0.05776100010734808
1,split_after_layer1,25,79.31318700002521,26.62246799991408,48.739389000047595,52.68548000003648,802816,0.058180999985779636,0.32924800007094746,0.04386199998407392,0.05727300003854907
1,split_after_layer1,26,79.97832000000926,27.007314000002225,49.360658000068725,52.965418999974645,802816,0.057202999869332416,0.3045930000098451,0.025213999833795242,0.05413000008047675
1,split_after_layer1,27,80.29108499999893,26.90010199989956,49.171309000030305,53.386163000141096,802816,0.08046200014177884,0.3407730000617448,0.024376000055781333,0.12446400000953872
1,split_after_layer1,28,79.78401200011831,26.39093400011916,49.344453999992766,53.38798000002498,802816,0.05671400003848248,0.3520879999996396,0.025633000177549548,0.08213699993575574
1,split_after_layer1,29,79.9790880000728,26.53851499985649,49.42533400003413,53.43533399991429,802816,0.05447900002764072,0.34684899992498686,0.024864999886631267,0.05678399998032546
1,split_after_layer1,30,79.08416600002965,26.564356999870142,49.13973900011115,52.514081000026636,802816,0.1468830000703747,0.29837700003554346,0.028216999908181606,0.06390799990185769
1,split_after_layer1,31,79.63775700000042,26.936352000120678,49.2691609999838,52.69616700002189,802816,0.057132999927489436,0.31115899992073537,0.025702999892018852,0.05622499998025887
1,split_after_layer1,32,78.8833629999317,26.616531999934523,48.77368200004639,52.26166199986437,802816,0.059158000112802256,0.31129799981499673,0.02668100000846607,0.37716199994974886
1,split_after_layer1,33,80.63409300007152,26.18915199991534,50.21737400011261,54.43970300007095,802816,0.0590889999330102,0.3064790000735229,0.025213999833795242,0.06537500007652852
1,split_after_layer1,34,81.9176959998913,27.724688000034803,50.13942499999757,54.18832800000928,802816,0.06397700008164975,0.3773020000608085,0.025073999950109283,0.06453700007114094
1,split_after_layer1,35,79.7738799999479,26.87781999998151,49.44453899997825,52.89068199999747,802816,0.05713300015486311,0.32869000006030547,0.026122000008399482,0.06523500019284256
1,split_after_layer1,36,82.02651499982494,27.377209999940533,50.6677309999759,54.64413599997897,802816,0.06062500006009941,0.34663999986150884,0.028567000072143856,0.05622499998025887
1,split_after_layer1,37,81.98446799997328,27.00724199985416,51.04098100014198,54.97205699998631,802816,0.09296399980485148,0.31039099985719076,0.02856699984477018,0.05727300003854907
1,split_after_layer1,38,80.68577399990318,26.54975900009049,50.97351100016567,54.13035699984903,802816,0.07277800000338175,0.29872699997213203,0.025632999950175872,0.05573699991145986
1,split_after_layer1,39,79.60939600002348,26.75873499993031,48.84450300005483,52.84542199979114,802816,0.06181300000207557,0.31339299994215253,0.024305000124513754,0.06488599979093124
1,split_after_layer1,40,80.19993400012027,26.93921400009458,49.42651900000783,53.25555100012025,802816,0.0625110001237772,0.3254769999330165,0.047704000053272466,0.058180999985779636
1,split_after_layer1,41,81.91818499994952,27.637241999855178,50.27506399983395,54.273888999887276,802816,0.1876030000858009,0.311857000042437,0.025772000071810908,0.05901899999116722
1,split_after_layer1,42,80.46785800001999,27.359749999959604,49.158873999886055,53.1033600000228,802816,0.06977499992899538,0.3124160000425036,0.024725000002945308,0.05783200003861566
1,split_after_layer1,43,80.91940500003147,27.173194000170042,49.685642999975244,53.74097200001415,802816,0.058739999985846225,0.3312040000764682,0.024235999944721698,0.058111000043936656
1,split_after_layer1,44,80.82280899998295,26.664443999834475,50.157026000078986,54.15312700006325,802816,0.06251099989640352,0.31192699998428,0.025214000061168917,0.05811099981656298
1,split_after_layer1,45,79.42116300000635,26.426622999906613,49.00186300005771,52.98930199978713,802816,0.05957799999123381,0.3144410000004427,0.027657999908115016,0.0601369999913004
1,split_after_layer1,46,80.63080400006584,27.53177699992193,49.64771499999188,53.0942769999001,802816,0.06299999995462713,0.3200290000222594,0.025423000124646933,0.05692399986401142
1,split_after_layer1,47,79.90658100015935,26.86852900001213,49.121364000029644,53.03330200013079,802816,0.062022000065553584,0.3281310000602389,0.025144000119325938,0.058670000044003245
1,split_after_layer1,48,78.90675299995564,26.766207000036957,49.04830700002094,52.13523800011899,802816,0.05901899999116722,0.3131840001060482,0.025352999955430278,0.05615500003841589
1,split_after_layer1,49,79.99556300001132,26.425782999922376,49.54685799998515,53.564540999786914,802816,0.058670000044003245,0.3062700000100449,0.024445999997624313,0.06488600001830491
1,split_after_layer1,50,80.5958799999189,26.8508589999783,49.88344100001996,53.73936399996637,802816,0.05783200003861566,0.3148609998788743,0.03338600004099135,0.06537500007652852
1,split_after_layer1,51,82.60650200008968,27.740750999782904,50.93774799979656,54.860512000004746,802816,0.057621999985713046,0.34566200019980897,0.0271000001248467,0.05671400003848248
1,split_after_layer1,52,80.2130600000055,26.978605000067546,49.262730999998894,53.228728000021874,802816,0.060555999880307354,0.33141300013994623,0.023817000055714743,0.07724900001448987
1,split_after_layer1,53,80.59022199995525,26.560723999864422,50.1135100000738,54.02426099999502,802816,0.058180999985779636,0.3467799999725685,0.024794999944788287,0.056643999869265826
1,split_after_layer1,54,81.82780199990702,26.922449000039705,50.88284999987991,54.90011400002004,802816,0.05915799988542858,0.36123800009590923,0.04616700016413233,0.058600000102160266
1,split_after_layer1,55,81.04602899993552,26.818939999884606,50.35000400016543,54.2214319998493,802816,0.06195299988576153,0.3326709997963917,0.026470999955563457,0.0840929999412765
1,split_after_layer1,56,83.14123299987841,27.15761699982977,52.043041999922934,55.97844899989468,802816,0.058111000043936656,0.3107400000317284,0.025143999891952262,0.05678399998032546
1,split_after_layer1,57,80.45639900001333,26.687142000128006,49.94665000003806,53.76408799997989,802816,0.061533000007329974,0.3124160000425036,0.025843000003078487,0.0566440000966395
1,split_after_layer1,58,80.34387800012155,26.975321999998414,49.89894599998479,53.363386999990325,802816,0.08870300007401966,0.37660299994968227,0.026331000071877497,0.05601500015472993
1,split_after_layer1,59,80.23568599992359,26.709979999850475,49.62103100001514,53.519907999998395,802816,0.059297999996488215,0.3270830000019487,0.024865000114004943,0.05580600009125192
1,split_after_layer1,60,80.6314270000712,26.754121999829295,49.90083000006962,53.87101799988159,802816,0.061044999938530964,0.30249799988268933,0.025773000061235507,0.0558760000330949
1,split_after_layer1,61,81.58278199994129,26.748603999976694,50.75726699988081,54.82845099982114,802816,0.07326700006160536,0.3576750000320317,0.025353999944854877,0.0643969999600813
1,split_after_layer1,62,79.68216500012204,26.717803000110507,49.0070260000266,52.95912499991573,802816,0.07047300005069701,0.3163969997785898,0.025283000013587298,0.05545699991671427
1,split_after_layer1,63,81.224968000015,27.463117000024795,49.81548000000657,53.75570499995774,802816,0.09247499997400155,0.34363600002507155,0.026260999902660842,0.05971699988549517
1,split_after_layer1,64,80.6827629999134,26.944799000148123,49.96327100002418,53.73237599997083,802816,0.05468899985316966,0.31011099986244517,0.02772800007733167,0.05678399998032546
1,split_after_layer1,65,79.58850399995754,27.03818100007993,49.126110999850425,52.54550300014671,802816,0.05790099999103404,0.3453820002050634,0.025703000119392527,0.059088000170959276
1,split_after_layer1,66,80.33270000009907,26.97741599990877,49.417992999906346,53.35046400000465,802816,0.060066999822083744,0.3563479999684205,0.025702000129967928,0.05573599992203526
1,split_after_layer1,67,79.61371800001871,26.597670000001017,49.03608099994017,53.010250999932396,802816,0.057621999985713046,0.3539040001214744,0.02619199995024246,0.05797099993287702
1,split_after_layer1,68,80.26194700005362,27.172142999916105,49.51102599989099,53.08463500000471,802816,0.05964699994365219,0.33295000002908637,0.025843000003078487,0.06160300017654663
1,split_after_layer1,69,80.9496389999822,27.167323999947257,49.57730899991475,53.77700700000787,802816,0.07389600000351493,0.3294579998964764,0.026192000177616137,0.05629500014947553
1,split_after_layer1,70,81.05894599998464,26.87376599988056,50.17448099988542,54.18001099997127,802816,0.12020300005133322,0.3046630001790618,0.025773000061235507,0.05489799991664768
1,split_after_layer1,71,80.3040600001168,26.67247300018971,49.77615500001775,53.6259999998947,802816,0.06055500011825643,0.3054310000152327,0.025773000061235507,0.05727300003854907
1,split_after_layer1,72,79.24493299992719,26.713889999882667,48.878649000016594,52.525874999901134,802816,0.0590889999330102,0.327361999779896,0.024935000055847922,0.0545489999694837
1,split_after_layer1,73,79.66358300018328,26.367878999963068,49.25664899997173,53.28990700013492,802816,0.0806010000360402,0.31967900008567085,0.026262000119459117,0.06293000001278415
1,split_after_layer1,74,79.95336900012262,26.78771599994434,49.02972300010333,53.15985500010356,802816,0.20289899998715555,0.3238009999222413,0.024725000002945308,0.05978799981676275
1,split_after_layer1,75,81.1202659999708,26.69000299988511,50.57671499980643,54.425584000000526,802816,0.05859999987478659,0.3139530001590174,0.025074000177482958,0.05538699997487129
1,split_after_layer1,76,80.63288900007137,26.981395000120756,49.5912059998318,53.64583599998696,802816,0.06502500013993995,0.29921500004093105,0.02451500017741637,0.05741199993281043
1,split_after_layer1,77,80.01804600007745,26.621205999845188,49.48455199996715,53.3919499998774,802816,0.06293000001278415,0.31388299998980074,0.025632999950175872,0.05580599986387824
1,split_after_layer1,78,80.551590000141,26.7133309998826,49.96075400003974,53.833438999845384,802816,0.06006600006003282,0.3068280000206869,0.025284000003011897,0.05727300003854907
1,split_after_layer1,79,80.86931400021058,26.862589999836928,50.05902600009904,54.0024640001775,802816,0.06321000000752974,0.3014500000517728,0.024725000002945308,0.05622499998025887
1,split_after_layer1,80,81.44853699991472,26.743784000018422,50.76543700010916,54.69895600003838,802816,0.06299999995462713,0.3003320000516396,0.024235999944721698,0.05587499981629662
1,split_after_layer1,81,81.48904700010462,27.241916999855675,49.996654000096896,54.241961000116135,802816,0.07061300016175664,0.5212519999986398,0.025073999950109283,0.05531700003302831
1,split_after_layer1,82,79.5141149999381,26.654662000055396,49.193787999911365,52.85463399991386,802816,0.06488600001830491,0.3081550000842981,0.025703000119392527,0.05629499992210185
1,split_after_layer1,83,80.84088500004327,26.874464000002263,49.85025799987852,53.96216100007223,802816,0.08632799995211826,0.30508200006806874,0.028146999966338626,0.07187100004557578
1,split_after_layer1,84,79.97578499998781,26.985027000137052,49.39528799991422,52.986497999881976,802816,0.06530500013468554,0.30640999989373086,0.025773000061235507,0.056435000033161486
1,split_after_layer1,85,80.029285999899,26.74650600010864,49.334383000086746,53.277612000101726,802816,0.06006600006003282,0.3039649998299865,0.02598300011413812,0.05636499986394483
1,split_after_layer1,86,79.98849700015853,26.532641000130752,49.64016400003857,53.45068700012234,802816,0.058669000054578646,0.3139519999422191,0.025354000172228552,0.057621999985713046
1,split_after_layer1,87,80.38647199987281,26.861680999900273,49.556351000092036,53.51948299994547,802816,0.08067099997788318,0.3291089999493124,0.027098999908048427,0.05580600009125192
1,split_after_layer1,88,80.65488600004755,27.285568000024796,49.348910999924556,53.3636600000591,802816,0.07655000013073732,0.3150699999423523,0.025214000061168917,0.057132999927489436
1,split_after_layer1,89,79.68921199994838,26.49869700007912,49.083081999924616,53.184856999905605,802816,0.0795539999671746,0.31437100005859975,0.024794999944788287,0.0697049999871524
1,split_after_layer1,90,80.12357699999484,26.720313999931022,49.43600699994022,53.39851300004739,802816,0.06293000001278415,0.3125560001535632,0.026122000008399482,0.062022000065553584
1,split_after_layer1,91,81.06885600000169,27.078339000127016,50.00412499998674,53.98471999978938,802816,0.06048500017641345,0.35397400006331736,0.025353999944854877,0.0555960000383493
1,split_after_layer1,92,79.5378579998669,26.765783999962878,49.60775600011402,52.76683700003559,802816,0.0590889999330102,0.32876000000214844,0.024864999886631267,0.057062999985646456
1,split_after_layer1,93,79.15475899994817,26.401332999967053,48.767802999918786,52.74874599990653,802816,0.07766699991407222,0.3049419999570091,0.025703000119392527,0.05433900014395476
1,split_after_layer1,94,82.37118200008808,27.212719999852197,51.18478200006393,55.15322299993386,802816,0.061463000065486995,0.31248599998434656,0.025283000013587298,0.057690999938131426
1,split_after_layer1,95,81.10405800016451,26.755865000041013,50.74832100012827,54.343093999932535,802816,0.06481599984908826,0.3492239998195146,0.0439329999153415,0.05685399992216844
1,split_after_layer1,96,80.32200200000261,26.545073000079356,49.9159089999921,53.77169000007598,802816,0.06293000001278415,0.2954429999135755,0.024236000172095373,0.07382600006167195
1,split_after_layer1,97,80.38758599991525,26.758517999951437,49.64023200000156,53.62326999988909,802816,0.0819979998141207,0.31416199999512173,0.02835700001924124,0.05852999993294361
1,split_after_layer1,98,80.19516300009855,26.61519700018289,49.636459999874205,53.574657999888586,802816,0.061953000113135204,0.30242800016822,0.026680000019041472,0.057132999927489436
1,split_after_layer1,99,81.08163399992918,26.869641000075717,50.175243000012415,54.20682399994803,802816,0.059089000160383875,0.3158380000058969,0.025842000013653887,0.057691999927556026
1,split_after_layer1,100,80.99977599999875,27.207549999957337,50.355232999891086,53.787057000135974,802816,0.05727300003854907,0.31199600016407203,0.024794999944788287,0.05573600014940894
1,split_after_layer1,101,80.12308299998949,26.33414100000664,49.77531100007582,53.78335499995046,802816,0.08919100014281867,0.3006819999882282,0.025004999997690902,0.05594599997493788
1,split_after_layer1,102,79.80305399996723,26.828084000044328,49.381946000039534,52.970221999885325,802816,0.06244099995456054,0.308364999909827,0.025213000071744318,0.05538699997487129
1,split_after_layer1,103,79.86598499996944,26.606465999975626,50.081301000091116,53.25428000014654,802816,0.05489799991664768,0.3494329998829926,0.029823999966538395,0.05622499998025887
1,split_after_layer1,104,79.74361700007648,26.438418999987334,49.61795099984556,53.3003779999035,802816,0.0601360000018758,0.3177240000695747,0.025214000061168917,0.05957700000180921
1,split_after_layer1,105,82.39157299999533,27.20147399986672,50.1605050001217,55.185419000054026,802816,0.100577000011981,0.47829799996179645,0.04749400000036985,0.06530500013468554
1,split_after_layer1,106,83.03421499999786,27.140849000033995,51.21334599994043,55.88819699983105,802816,0.07612999979755841,0.4641179998543521,0.024725000002945308,0.05531699980565463
1,split_after_layer1,107,80.61311400001614,27.154050000035568,49.972622000041156,53.45424600000115,802816,0.06886699998176482,0.3011710000464518,0.025632999950175872,0.06055600010768103
1,split_after_layer1,108,80.43004799992559,26.58907399995769,50.63237400008802,53.8347579999936,802816,0.060834000123577425,0.3071079997880588,0.02717000006668968,0.05580599986387824
1,split_after_layer1,109,80.39652200000091,27.21278700005314,48.97237299996959,53.17856600004234,802816,0.07096200010892062,0.318002999847522,0.025703000119392527,0.057621999985713046
