LAST SEEN   TYPE     REASON      OBJECT                                MESSAGE
108s        Normal   Scheduled   pod/benchmark-client                  Successfully assigned rq21-client-mtls/benchmark-client to aks-rq15pool-95166063-vmss000000
58s         Normal   Scheduled   pod/rq21-direct-deny-20260515161507   Successfully assigned rq21-client-mtls/rq21-direct-deny-20260515161507 to aks-rq15pool-95166063-vmss000000
107s        Normal   Pulling     pod/benchmark-client                  Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
88s         Normal   Pulled      pod/benchmark-client                  Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 18.861s (18.861s including waiting). Image size: 413013146 bytes.
88s         Normal   Created     pod/benchmark-client                  Created container: client
88s         Normal   Started     pod/benchmark-client                  Started container client
57s         Normal   Pulling     pod/rq21-direct-deny-20260515161507   Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
57s         Normal   Pulled      pod/rq21-direct-deny-20260515161507   Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 176ms (176ms including waiting). Image size: 413013146 bytes.
57s         Normal   Created     pod/rq21-direct-deny-20260515161507   Created container: debug
57s         Normal   Started     pod/rq21-direct-deny-20260515161507   Started container debug
47s         Normal   Killing     pod/rq21-direct-deny-20260515161507   Stopping container debug
