condition,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p25_ms,p75_ms,p95_ms,p99_ms,ci95_lower_ms,ci95_upper_ms,total_compute_ms_mean,non_compute_overhead_ms_mean,boundary_crossing_ms_mean,total_activation_bytes_mean,activation_bytes_mean,num_hops_mean,baseline_condition,baseline_mean_latency_ms,mean_latency_ms,absolute_overhead_ms,pct_overhead_vs_baseline,latency_rank,estimated_compute_ms,inferred_non_compute_overhead_ms,inferred_non_compute_pct
monolithic_k8s_1svc,1000,70.80246119000032,70.22407200000202,2.659209962003063,66.7908180000154,95.54257399997823,68.30783414998507,69.257420999989,71.43497200000581,75.15144500000304,81.84435056000835,70.63744475175308,70.96747762824755,68.31746252699953,2.4849986630007947,2.4849986630007947,602112.0,602112.0,1.0,monolithic_k8s_1svc,70.80246119000032,70.80246119000032,0.0,0.0,1,,,
chain_2svc,1000,73.43710648899832,73.12413600004675,1.8308587385314035,70.2161620000652,88.50009299999329,71.2844782500099,72.27574175004747,74.17062675000352,76.60208789990577,80.02172981002616,73.3234931255245,73.55071985247216,68.94817386399937,4.488932624998938,4.488932624998938,1003520.0,1003520.0,1.0,monolithic_k8s_1svc,70.80246119000032,73.43710648899832,2.6346452989980094,3.7211210665796877,2,,,
chain_3svc,1000,75.4100598719989,75.04340100001627,1.9712213279267596,72.76739400003862,95.70405700003448,73.53298235000238,74.33641450003847,75.84338075005803,78.30093350000311,84.32425854997746,75.2877363521643,75.53238339183349,68.3372862040012,7.072773667997694,7.072773667997694,1605632.0,1605632.0,2.0,monolithic_k8s_1svc,70.80246119000032,75.4100598719989,4.6075986819985815,6.507681519197428,3,,,
chain_4svc,1000,78.29440319900003,77.92334049997862,2.1901804377432894,75.18604100005177,96.45855600001596,76.1358861000133,77.05060174998835,78.8674827500131,81.69767050000587,88.09639991999802,78.1584922404374,78.43031415756266,69.15665423899998,9.137748960000065,9.137748960000065,2007040.0,2007040.0,3.0,monolithic_k8s_1svc,70.80246119000032,78.29440319900003,7.491942008999715,10.5814711566239,4,,,
chain_5svc,1000,80.51934996200087,80.07800299992596,2.1581171318635604,77.09501699991961,94.31736700003057,78.08928779999178,79.09536574993581,81.33468325002013,84.63455355010865,88.31231831992909,80.38542868180524,80.65327124219651,70.02977735301012,10.489572608990784,10.489572608990784,2107392.0,2107392.0,4.0,monolithic_k8s_1svc,70.80246119000032,80.51934996200087,9.716888772000559,13.723942089986146,5,,,
