condition,split_mean_ms,baseline_condition,monolith_mean_ms,overhead_ms,overhead_pct,activation_bytes,service_a_compute_ms,service_b_compute_ms,boundary_crossing_ms,total_compute_ms,num_hops
chain_2svc,57.36463021299812,monolithic_k8s_1svc,52.04538634599862,5.3192438669995,10.220394621796206,1003520.0,0,0,5.217441127997745,52.14718908500038,1.0
chain_3svc,60.84042537900633,monolithic_k8s_1svc,52.04538634599862,8.795039033007704,16.898787098126498,1605632.0,0,0,7.842808843006765,52.99761653599955,2.0
chain_4svc,63.80811292800172,monolithic_k8s_1svc,52.04538634599862,11.762726582003097,22.600901651117137,2007040.0,0,0,9.937450350007794,53.870662577993926,3.0
chain_5svc,65.37954745800084,monolithic_k8s_1svc,52.04538634599862,13.33416111200222,25.620255796270758,2107392.0,0,0,11.354164496001204,54.02538296199964,4.0
