condition,local_k8s_mean_ms,aks_mean_ms,local_k8s_overhead_pct_vs_baseline,aks_overhead_pct_vs_baseline,local_k8s_rank,aks_rank,rank_delta,rank_match
monolithic_k8s_1svc,81.44699327102717,52.04538634599862,0.0,0.0,1,1,0,True
chain_2svc,84.18932542789844,57.36463021299812,3.3670146026701646,10.220394621796206,2,2,0,True
chain_3svc,87.60843166089398,60.84042537900633,7.5649672779984645,16.898787098126498,3,3,0,True
chain_4svc,92.31194689705808,63.80811292800172,13.339907576300744,22.600901651117137,4,4,0,True
chain_5svc,92.62372004601275,65.37954745800084,13.722700281633893,25.620255796270758,5,5,0,True
