LAST SEEN   TYPE     REASON              OBJECT                                                  MESSAGE
70s         Normal   Scheduled           pod/chain-2svc-split-l3-plain-svc-1-5cc88c8f4c-59dxw    Successfully assigned rq21-ms-l3-plain/chain-2svc-split-l3-plain-svc-1-5cc88c8f4c-59dxw to aks-rq15pool-53575030-vmss000000
70s         Normal   Scheduled           pod/chain-2svc-split-l3-plain-svc-2-b9f5547f5-kvhc5     Successfully assigned rq21-ms-l3-plain/chain-2svc-split-l3-plain-svc-2-b9f5547f5-kvhc5 to aks-rq15pool-53575030-vmss000000
70s         Normal   ScalingReplicaSet   deployment/chain-2svc-split-l3-plain-svc-1              Scaled up replica set chain-2svc-split-l3-plain-svc-1-5cc88c8f4c from 0 to 1
70s         Normal   ScalingReplicaSet   deployment/chain-2svc-split-l3-plain-svc-2              Scaled up replica set chain-2svc-split-l3-plain-svc-2-b9f5547f5 from 0 to 1
70s         Normal   SuccessfulCreate    replicaset/chain-2svc-split-l3-plain-svc-2-b9f5547f5    Created pod: chain-2svc-split-l3-plain-svc-2-b9f5547f5-kvhc5
70s         Normal   SuccessfulCreate    replicaset/chain-2svc-split-l3-plain-svc-1-5cc88c8f4c   Created pod: chain-2svc-split-l3-plain-svc-1-5cc88c8f4c-59dxw
69s         Normal   Created             pod/chain-2svc-split-l3-plain-svc-1-5cc88c8f4c-59dxw    Created container: inference
69s         Normal   Started             pod/chain-2svc-split-l3-plain-svc-1-5cc88c8f4c-59dxw    Started container inference
69s         Normal   Pulling             pod/chain-2svc-split-l3-plain-svc-2-b9f5547f5-kvhc5     Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
69s         Normal   Pulled              pod/chain-2svc-split-l3-plain-svc-2-b9f5547f5-kvhc5     Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 122ms (122ms including waiting). Image size: 413013146 bytes.
69s         Normal   Created             pod/chain-2svc-split-l3-plain-svc-2-b9f5547f5-kvhc5     Created container: inference
69s         Normal   Started             pod/chain-2svc-split-l3-plain-svc-2-b9f5547f5-kvhc5     Started container inference
69s         Normal   Pulled              pod/chain-2svc-split-l3-plain-svc-1-5cc88c8f4c-59dxw    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 130ms (130ms including waiting). Image size: 413013146 bytes.
69s         Normal   Pulling             pod/chain-2svc-split-l3-plain-svc-1-5cc88c8f4c-59dxw    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
