round,condition,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms
1,chain_2svc,200,75.61800971999844,74.8743149999882,2.987835273138552,71.51696099992932,97.38096199998836,80.95999900000947
1,chain_3svc,200,77.97969794999915,76.88947750000352,2.9617095842653725,73.88367900000503,90.24758500004282,84.1728169500584
1,chain_4svc,200,81.87432011001079,81.28746000011233,2.8035974736650418,77.76605699996253,100.99667700001191,87.65169400020339
1,chain_5svc,200,84.91572818999772,84.55981400004475,2.3719645778682974,81.19794999993246,95.32154700013962,89.11291034992243
1,monolithic_k8s_1svc,200,73.93584914499996,73.14399750001144,3.9409970986619958,67.02050999996345,90.53461400003471,80.859857650006
2,chain_2svc,200,76.79957929999716,76.01656800005685,3.260657463275319,71.14289799994822,89.57619800003158,83.02984334999906
2,chain_3svc,200,77.15213398499941,76.42554150004344,3.0459788977096527,73.87648199994601,99.26877599991712,81.99358104999419
2,chain_4svc,200,81.7612109200013,81.25662550003199,2.1612563347198823,78.93146199990042,94.28525500015894,85.42235869999786
2,chain_5svc,200,84.32819584000411,83.79049299992403,2.6668032465018734,80.41944100000364,97.82211800006735,89.33062500009326
2,monolithic_k8s_1svc,200,73.27363743499944,72.44540350001216,3.997314475260428,67.49186400003282,96.41360000000532,80.23318739997478
3,chain_2svc,200,75.6004310599991,74.84170600002926,2.7531652776294973,71.66120600004433,86.55417199997828,81.33405604995687
3,chain_3svc,200,77.05606415000432,76.64928050002118,2.2323644140362027,73.75637799998458,89.30429400004414,80.65574010001907
3,chain_4svc,200,82.725747985005,82.12907299991912,2.507038095908717,79.16791700017711,94.09388299991406,87.56480805001273
3,chain_5svc,200,84.26449497999556,83.88829099999384,1.9931172868789733,80.46429199998784,92.77108999981465,88.03576190009606
3,monolithic_k8s_1svc,200,73.32582406999876,72.9541420000146,3.8230243187315813,67.25958399999854,92.25349100000813,79.29016200004355
4,chain_2svc,200,77.93670291499893,76.58336950004241,4.557286412224407,72.5014629999805,101.82944500002122,86.46652654998093
4,chain_3svc,200,77.97824983000169,77.2441000000299,3.1581943009506226,73.65679700001238,92.72970500001065,85.09106899994094
4,chain_4svc,200,82.02008414998888,81.70647299994016,1.877807411569625,78.72851100000844,89.83994100003656,85.60703044990987
4,chain_5svc,200,84.89094084499129,84.4816595000566,2.740156993536505,80.9811679998802,99.53643999983797,89.27275500001315
4,monolithic_k8s_1svc,200,72.57624011500013,72.07038800001442,2.9921790183082453,67.07499200001621,84.23738900000899,78.21452485001998
5,chain_2svc,200,76.39672804499583,75.96815099998366,2.751156406280653,71.14249999995081,91.37930199995026,81.0784669499867
5,chain_3svc,200,77.53692130499815,77.07846049999034,2.274942623498587,73.93720300001405,89.97390399997585,82.32270325000854
5,chain_4svc,200,82.13159557498896,81.74719299995559,2.2209909933140066,78.57543699992675,90.10429099998873,86.39822600003981
5,chain_5svc,200,84.62576145999607,84.08893399996487,2.590580065087276,80.7841890000418,96.95828999997502,90.11282685012247
5,monolithic_k8s_1svc,200,72.42823155500218,71.59495350003908,3.521057258874283,67.13171800004147,86.86543900000743,79.21200965000139
