round,condition,iteration,end_to_end_ms,service_a_compute_ms,service_b_compute_ms,boundary_crossing_ms,activation_bytes,request_serialize_ms,request_deserialize_ms,response_serialize_ms,response_deserialize_ms
1,split_after_layer1,1,40.96508200018434,17.620654998609098,21.86888900178019,23.344026998529444,802816,0.043853000533999875,0.11884799823747016,0.012320997484494,0.03031200321856886
1,split_after_layer1,2,34.69447799943737,13.409422997938236,20.100074998481432,21.28461499887635,802816,0.029981998522998765,0.09755700011737645,0.009231000149156898,0.02192099782405421
1,split_after_layer1,3,34.45345599902794,13.245886999357026,20.177020000119228,21.20713899785187,802816,0.030541999876732007,0.0680839984852355,0.009900999430101365,0.022401000023819506
1,split_after_layer1,4,35.80668200083892,13.308825997228269,21.50256900131353,22.497345998999663,802816,0.029032002203166485,0.08271599654108286,0.009960000170394778,0.02525200034142472
1,split_after_layer1,5,35.80191699802526,13.62759300172911,21.151755998289445,22.173833996930625,802816,0.030472001526504755,0.09067600331036374,0.011030999303329736,0.02506199962226674
1,split_after_layer1,6,35.03422100038733,13.455156000418356,20.48910099983914,21.57867499772692,802816,0.03525300053297542,0.07811500108800828,0.010420997568871826,0.021341998944990337
1,split_after_layer1,7,34.84016199945472,13.061824000033084,20.59387899862486,21.77785800085985,802816,0.030952000088291243,0.0727340011508204,0.010331001249141991,0.022542000806424767
1,split_after_layer1,8,34.50894000343396,13.319531000888674,20.121767000091495,21.188839000387816,802816,0.02753200169536285,0.0720349999028258,0.008920000254875049,0.02050200055236928
1,split_after_layer1,9,34.01690700047766,12.856751000072109,19.921373001125176,21.159796000574715,802816,0.025972000003093854,0.06153499998617917,0.009809999028220773,0.02050100010819733
1,split_after_layer1,10,35.05812200091896,12.986863999685738,20.744969999213936,22.07083800021792,802816,0.02711200068006292,0.06233400199562311,0.012169999536126852,0.025442001060582697
1,split_after_layer1,11,35.292061998916324,13.419997001619777,20.573926998622483,21.871644999919226,802816,0.030283001251518726,0.09190600030706264,0.009801002306630835,0.02192199826822616
1,split_after_layer1,12,34.61619700101437,13.099347001116257,20.415816001332132,21.516349999728845,802816,0.03348199970787391,0.09415699969395064,0.009501000022282824,0.020710998796857893
1,split_after_layer1,13,35.160359999281354,13.055584000539966,20.89898399935919,22.104275001765927,802816,0.029031998565187678,0.07921600263216533,0.011041000107070431,0.031792002118891105
1,split_after_layer1,14,35.46021500005736,13.139090002368903,21.282966001308523,22.320594998745946,802816,0.02855200000340119,0.0732749977032654,0.012470998626668006,0.031772000511409715
