LAST SEEN   TYPE     REASON              OBJECT                                                  MESSAGE
70s         Normal   Scheduled           pod/chain-2svc-split-l2-plain-svc-1-648545cdf8-c24mv    Successfully assigned rq21-ms-l2-plain/chain-2svc-split-l2-plain-svc-1-648545cdf8-c24mv to aks-rq15pool-53575030-vmss000000
70s         Normal   Scheduled           pod/chain-2svc-split-l2-plain-svc-2-b89ff8b4d-q9hgr     Successfully assigned rq21-ms-l2-plain/chain-2svc-split-l2-plain-svc-2-b89ff8b4d-q9hgr to aks-rq15pool-53575030-vmss000000
70s         Normal   ScalingReplicaSet   deployment/chain-2svc-split-l2-plain-svc-1              Scaled up replica set chain-2svc-split-l2-plain-svc-1-648545cdf8 from 0 to 1
70s         Normal   Created             pod/chain-2svc-split-l2-plain-svc-1-648545cdf8-c24mv    Created container: inference
70s         Normal   Started             pod/chain-2svc-split-l2-plain-svc-1-648545cdf8-c24mv    Started container inference
70s         Normal   SuccessfulCreate    replicaset/chain-2svc-split-l2-plain-svc-1-648545cdf8   Created pod: chain-2svc-split-l2-plain-svc-1-648545cdf8-c24mv
70s         Normal   Pulled              pod/chain-2svc-split-l2-plain-svc-1-648545cdf8-c24mv    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 203ms (203ms including waiting). Image size: 413013146 bytes.
70s         Normal   Pulling             pod/chain-2svc-split-l2-plain-svc-1-648545cdf8-c24mv    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
70s         Normal   Pulling             pod/chain-2svc-split-l2-plain-svc-2-b89ff8b4d-q9hgr     Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
70s         Normal   SuccessfulCreate    replicaset/chain-2svc-split-l2-plain-svc-2-b89ff8b4d    Created pod: chain-2svc-split-l2-plain-svc-2-b89ff8b4d-q9hgr
70s         Normal   ScalingReplicaSet   deployment/chain-2svc-split-l2-plain-svc-2              Scaled up replica set chain-2svc-split-l2-plain-svc-2-b89ff8b4d from 0 to 1
69s         Normal   Pulled              pod/chain-2svc-split-l2-plain-svc-2-b89ff8b4d-q9hgr     Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 143ms (143ms including waiting). Image size: 413013146 bytes.
69s         Normal   Created             pod/chain-2svc-split-l2-plain-svc-2-b89ff8b4d-q9hgr     Created container: inference
69s         Normal   Started             pod/chain-2svc-split-l2-plain-svc-2-b89ff8b4d-q9hgr     Started container inference
