round,condition,iteration,end_to_end_ms,service_a_compute_ms,service_b_compute_ms,boundary_crossing_ms,activation_bytes,request_serialize_ms,request_deserialize_ms,response_serialize_ms,response_deserialize_ms
1,split_after_layer1,1,34.39753600014228,13.310591999925236,20.198980000031952,21.08655400002135,802816,0.02383200012445741,0.0589730000228883,0.010730999974839506,0.028971999881832744
1,split_after_layer1,2,33.69420900003206,13.137722000010399,19.34371399988777,20.555936999926416,802816,0.02721099986047193,0.06445400003940449,0.008941000032791635,0.024271000029330025
1,split_after_layer1,3,33.95423599999958,13.077807999934521,19.73358800000824,20.875988000170764,802816,0.024932000087574124,0.06341400012388476,0.009821000048759743,0.024182000061045983
1,split_after_layer1,4,34.283795999954236,13.044946000036362,20.202247000042917,21.238519999997152,802816,0.026462000050742063,0.059934000091743656,0.010251000048810965,0.023532000113846152
1,split_after_layer1,5,33.241302000078576,12.935399000070902,19.42600000006678,20.305563000192706,802816,0.024491999965903233,0.056143999927371624,0.009919999911289779,0.03141199999845412
1,split_after_layer1,6,33.41973299984602,12.865685000178928,19.645782999987205,20.55366799982039,802816,0.024430999928881647,0.06308399997578817,0.00980100003289408,0.022041999955035863
1,split_after_layer1,7,33.450620000166964,12.920084000143106,19.634412999948836,20.530145999828164,802816,0.024260999907710357,0.05484300004354736,0.009670000054029515,0.020851000044785906
1,split_after_layer1,8,33.47716600001149,13.012343999889708,19.568338999988555,20.464411999910226,802816,0.02723099987633759,0.05627299992738699,0.009489999911238556,0.022620999970968114
1,split_after_layer1,9,33.421817999851555,12.817922000067483,19.64928899997176,20.60345600011715,802816,0.025320999839095748,0.05657299993799825,0.009140999964074581,0.020920999986628885
1,split_after_layer1,10,33.307023999896046,12.87770199996885,19.528037000100085,20.428951999974743,802816,0.02388199982306105,0.08178499979294429,0.009469999895372894,0.02139200000783603
1,split_after_layer1,11,33.732188999920254,12.976667999964775,19.844594999995024,20.75513099998716,802816,0.02430199992886628,0.05529400004888885,0.01053000005413196,0.024971999891931773
1,split_after_layer1,12,33.822103999909814,13.066784000102416,19.78524100013601,20.75485000000299,802816,0.026450999939697795,0.09708599986879562,0.009750999879543087,0.02457200002936588
1,split_after_layer1,13,33.35281599993323,12.905353999940417,19.48890299991035,20.447022000098514,802816,0.024581999923611875,0.061144000028434675,0.009911000006468385,0.021521999997275998
1,split_after_layer1,14,33.32066300004044,12.918005000074118,19.512954999981957,20.402278000119622,802816,0.025630999971326673,0.056632999985595234,0.01015100019685633,0.020550999806800974
1,split_after_layer1,15,33.606030999862924,13.020890999996482,19.742418000078032,20.584699999972145,802816,0.0330720001784357,0.05209399978411966,0.009651000027588452,0.021160999949643156
1,split_after_layer1,16,33.791131000043606,13.133706999951755,19.736598999998023,20.656993999864426,802816,0.027371999976821826,0.07068400009302422,0.010920000022451859,0.0215210000078514
1,split_after_layer1,17,33.63369299995611,13.073584999801824,19.655103999866697,20.55965800013837,802816,0.02413099991827039,0.05743300016547437,0.009520000048723887,0.020661000007748953
1,split_after_layer1,18,33.95783299993127,13.057593999974415,20.043178000150874,20.899848999988535,802816,0.024951000114015187,0.06084300002839882,0.008959999831859022,0.02203100007136527
1,split_after_layer1,19,33.95799200006877,13.203230999806692,19.814254000039,20.75435100005052,802816,0.025682000114102266,0.06474399992839608,0.010170999985348317,0.022551000029125134
1,split_after_layer1,20,33.22361799996543,12.83421899984205,19.50775600016641,20.388999000033436,802816,0.024071999860098003,0.06710399998155481,0.010369999927206663,0.022150999939185567
1,split_after_layer1,21,33.78056199994717,13.178368999888335,19.71651799999563,20.601782000085223,802816,0.02399200002400903,0.05595400011770835,0.011109999832115136,0.02269100014018477
1,split_after_layer1,22,33.79186199981632,13.026299999864932,19.714538000016546,20.765142000072956,802816,0.024831000018821214,0.058273999911762075,0.00980100003289408,0.023121999902286916
1,split_after_layer1,23,33.437131000027875,12.903503999950772,19.433951000110028,20.53328700003476,802816,0.024881000172172207,0.06916400002410228,0.009650000038163853,0.020591000065905973
1,split_after_layer1,24,34.05677400019158,13.140097999894351,19.833400000152324,20.91621599993232,802816,0.025331000188089092,0.05751399999098794,0.00960099987423746,0.02511100001356681
1,split_after_layer1,25,33.676945000024716,12.964137999915692,19.50056400005451,20.711887000061324,802816,0.02783100012493378,0.06443400002353883,0.00939100004870852,0.020960999790986534
