condition_key,condition,n,mean_ms,median_ms,p95_ms,p99_ms,non_compute_overhead_ms_mean,total_compute_ms_mean,service_app_cpu_mcores_mean,sidecar_cpu_mcores_mean,total_pod_cpu_mcores_mean,service_app_memory_mib_mean,sidecar_memory_mib_mean,total_pod_memory_mib_mean,service_schedule_to_ready_seconds_mean,service_sidecar_started_delay_seconds_mean,deployment_kubernetes_object_count,deployment_service_account_count,deployment_peer_authentication_count,deployment_authorization_policy_count,deployment_injected_container_count,validation_passed
c0,chain_2svc_plain_nonmesh,1000,69.90069103400106,69.527604500081,72.59065940003211,77.09761494031909,4.195945547998917,65.70474548600214,534.6266648278977,0.0,534.6266648278977,530.8,0.0,530.8,6.8,,8,,,,0,True
c1,chain_2svc_mesh_default_no_authz,1000,72.46961707099922,72.21725050010264,74.38040410002031,77.37721293996401,7.165405327008102,65.30421174399112,504.98917751429633,31.41946631267877,536.4086438269751,529.8,87.6,617.4,10.4,1.2,10,2,,,2,True
c2,chain_2svc_mesh_strict_mtls_no_authz,1000,72.78449932900435,72.41842549984767,75.31073824992518,79.89917498988689,7.181504002012161,65.60299532699219,559.3261111385563,34.71792676044706,594.0440378990033,534.4666666666667,83.46666666666667,617.9333333333333,13.8,3.1,12,2,2,,2,True
c3,chain_2svc_mesh_strict_mtls_authz,1000,72.74026514400362,72.39087150014711,75.13340789990934,79.7864329900085,7.195083034001755,65.54518211000186,580.7956859531721,32.44509069761427,613.2407766507864,530.6,87.4,618.0,10.6,1.4,13,2,2,1,2,True
