condition,local_k8s_mean_ms,aks_mean_ms,local_k8s_overhead_pct_vs_baseline,aks_overhead_pct_vs_baseline,local_k8s_rank,aks_rank,rank_delta,rank_match
monolithic_k8s_1svc,81.44699327102717,64.2026661600014,0.0,0.0,1,1,0,True
chain_2svc,84.18932542789844,71.6709331880004,3.3670146026701646,11.632331606583302,2,2,0,True
chain_3svc,87.60843166089398,75.91930577900031,7.5649672779984645,18.249459593779985,3,3,0,True
chain_4svc,92.31194689705808,79.22637037999901,13.339907576300744,23.400436646285975,4,4,0,True
chain_5svc,92.62372004601275,82.66477881300354,13.722700281633893,28.75599061103187,5,5,0,True
