condition,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p25_ms,p75_ms,p95_ms,p99_ms,ci95_lower_ms,ci95_upper_ms,service_a_compute_ms_mean,service_b_compute_ms_mean,boundary_crossing_ms_mean,activation_bytes_mean,baseline_condition,baseline_mean_latency_ms,mean_latency_ms,absolute_overhead_ms,pct_overhead_vs_baseline,latency_rank,estimated_compute_ms,inferred_non_compute_overhead_ms,inferred_non_compute_pct
split_after_layer3_block0,1000,34.41089318800368,34.09044349973556,1.3664239886239307,32.73947500201757,46.107406000373885,33.12875154915673,33.55394949903712,34.81685424776515,36.6103752014169,40.41656045086711,34.32610017693642,34.495686199070946,22.537731383985374,11.171195562961657,11.872706469977857,200704.0,monolithic,32.967524295003386,34.41089318800368,1.4433688930002972,4.378153725116255,4,,,
split_after_layer3,1000,34.00372030502331,33.84244500011846,1.017663814610402,32.72504699998535,44.41125399898738,33.02875320005114,33.38464374883188,34.31073549836583,35.36587910111848,39.018567598977825,33.94056949691878,34.06687111312783,25.700795169050252,7.630359472019336,8.302492396946036,200704.0,monolithic,32.967524295003386,34.00372030502331,1.0361960100199212,3.1430810537901657,2,,,
split_after_layer2,1000,34.116834936037776,33.91326699966157,1.1275675682901232,32.682693999959156,45.13172099905205,33.050758649551426,33.43549850160343,34.46760425049433,35.82940864889679,37.85746480996749,34.046864085047815,34.18680578702774,19.493664132009144,13.79716203103817,14.622755659940594,401408.0,monolithic,32.967524295003386,34.116834936037776,1.1493106410343898,3.4861903209655973,3,,,
monolithic,1000,32.967524295003386,32.78910149856529,1.0376448975530015,31.620730998838553,43.29549400063115,31.9259816502381,32.36470150113746,33.28540874827013,34.4478792982045,36.94398723284394,32.90313356707808,33.03191502292869,32.967524295003386,0.0,0.0,0.0,monolithic,32.967524295003386,32.967524295003386,0.0,0.0,1,,,
