round,condition,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms
1,chain_2svc,200,81.9513945700055,81.68628349994833,1.5828650071821375,79.84639899996182,94.64427900002192,83.70999769974787
1,chain_3svc,200,85.48194763500987,84.86148399992999,2.3601793929359327,83.007207999799,99.27821099972789,91.1649220001891
1,chain_4svc,200,88.99401391496667,88.09970550009893,3.2184101025366094,86.20432199995776,115.26543199988737,96.2199754498215
1,chain_5svc,200,91.33164640499217,90.25170949985295,3.0754941413072094,87.72449300022345,100.76745600008508,98.7042023996537
1,monolithic_k8s_1svc,200,80.39976580001166,79.56638000018756,3.6780116906671783,76.37378399977024,113.5336370002733,84.92193065005722
2,chain_2svc,200,83.4234328800244,81.39707600003021,3.9597151104472066,79.27251199998864,93.67187499992724,90.23201745023925
2,chain_3svc,200,89.29812069501168,87.13202200010528,4.997821231798124,83.38372899970636,116.56332700022176,97.49658310008726
2,chain_4svc,200,91.00126695000654,89.07123299991326,4.036146182172298,86.83225599997968,104.32952399969508,98.4167106498262
2,chain_5svc,200,92.67235733001826,90.34660350016566,4.154988277704211,87.69255500010331,100.61509900015153,99.4591366998975
2,monolithic_k8s_1svc,200,82.20065858502494,80.96185499994135,4.4118952437504095,76.54172100001233,100.72323500025959,89.98659685021266
3,chain_2svc,200,83.72390280999298,81.66150599981847,3.7418789924040388,79.67816200016387,94.16140799976347,90.28193525009556
3,chain_3svc,200,88.35518041998512,86.38558799998464,3.9879378179867455,83.83581900034187,101.49116599995978,95.29048529989268
3,chain_4svc,200,90.98112401499066,88.7537895002879,4.19438186201411,86.01422399988223,101.65555100002166,97.8855134003652
3,chain_5svc,200,92.91130656499263,90.51087550005832,4.070747890499238,88.32550900024216,104.30706499982989,99.65835955026705
3,monolithic_k8s_1svc,200,81.13857905000259,79.37953750001725,4.309124493335721,76.32251800032464,96.18581899985656,89.8495215999219
4,chain_2svc,200,83.86669198998788,81.9812474999253,3.6552368804444137,79.8709990003772,92.59855400023298,90.11079634981343
4,chain_3svc,200,87.92167855499201,85.82423449979615,4.705961716806856,83.15898899991225,121.63842500012834,95.35649460012792
4,chain_4svc,200,90.93356324499837,88.72812100003102,3.9418816303345716,86.53030300001774,98.68884700017588,97.30923874992641
4,chain_5svc,200,92.96040629000572,90.56830700001228,4.198739049834132,88.4710760001326,104.00209699992047,99.66442510010438
4,monolithic_k8s_1svc,200,80.83057783999493,78.83112150011584,3.6687228522702995,77.03785900002913,90.07256099994265,86.9958195499521
5,chain_2svc,200,83.97137236998333,82.28506549994563,3.7516669054899263,79.22712799972942,93.3807930000512,91.1388830499618
5,chain_3svc,200,87.58268533500768,85.71101550001003,3.6540712512272155,83.82133900022382,94.68868300018585,93.7929998999607
5,chain_4svc,200,90.95050925502619,88.99139900017872,3.8170251165660463,86.32623799985595,99.13762899986978,97.38739754984636
5,chain_5svc,200,92.80095283501169,90.54722649989344,4.015698825452622,87.59669299979578,101.36233200000788,98.93947884959289
5,monolithic_k8s_1svc,200,80.76191551498141,78.82328399978178,3.7555892469657786,76.77896399991369,90.37429800036989,87.5029341000527
