LAST SEEN   TYPE     REASON      OBJECT                              MESSAGE
68s         Normal   Scheduled   pod/benchmark-client                Successfully assigned rq21-ab-c1-client/benchmark-client to aks-rq15pool-31581052-vmss000000
53s         Normal   Scheduled   pod/rq21-ab-direct-20260516121808   Successfully assigned rq21-ab-c1-client/rq21-ab-direct-20260516121808 to aks-rq15pool-31581052-vmss000000
69s         Normal   Pulling     pod/benchmark-client                Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
69s         Normal   Pulled      pod/benchmark-client                Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 120ms (120ms including waiting). Image size: 413013146 bytes.
69s         Normal   Created     pod/benchmark-client                Created container: client
68s         Normal   Started     pod/benchmark-client                Started container client
53s         Normal   Pulling     pod/rq21-ab-direct-20260516121808   Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
53s         Normal   Pulled      pod/rq21-ab-direct-20260516121808   Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 208ms (208ms including waiting). Image size: 413013146 bytes.
53s         Normal   Created     pod/rq21-ab-direct-20260516121808   Created container: debug
53s         Normal   Started     pod/rq21-ab-direct-20260516121808   Started container debug
50s         Normal   Killing     pod/rq21-ab-direct-20260516121808   Stopping container debug
