condition,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p25_ms,p75_ms,p95_ms,p99_ms,ci95_lower_ms,ci95_upper_ms,service_a_compute_ms_mean,service_b_compute_ms_mean,boundary_crossing_ms_mean,activation_bytes_mean
split_after_layer1,1000,79.65218291999983,78.77057199999626,2.284691642529591,77.25025099998106,90.3433959999802,77.96163514997829,78.48526300001879,80.14544975000604,86.46426280004675,87.1774422500016,79.51040709833457,79.7939587416651,26.615436492997873,49.21092675800023,53.03128027200057,802816.0
split_after_layer4,1000,77.25809810099989,76.08542549996855,2.64691416476166,75.2261689999898,88.95803400002933,75.5335864000017,75.80596450000598,77.55492475001802,83.93382364998274,85.45658058000186,77.09384467458518,77.42235152741459,75.12103881700008,0.4630375820007373,2.131752928999362,100352.0
split_after_layer3,1000,78.50030420899944,77.55903749995241,2.742095087589191,76.21131099998024,91.58270000000357,76.55137199992623,77.22267399999794,77.99308999997834,85.47014650001756,87.53684323001039,78.33014436033959,78.67046405765929,52.76935633299834,23.687257210000638,25.72565665399929,200704.0
split_after_layer2,1000,78.62921161100012,77.65276049997283,2.733687173192038,75.80233999999564,94.87614500000063,76.561900849984,77.28194699993196,78.22241749998682,85.2688327000294,85.91264986003353,78.45957351282509,78.79884970917514,38.662910582999075,37.523213265000145,39.961110846000395,401408.0
monolithic,1000,76.12022309100128,74.0424580000365,3.893262931556135,72.35725400005322,90.81038400000807,72.49409624998293,72.78281150007615,80.15548975001252,82.36036594998666,86.03940328002352,75.8786278836633,76.36181829833926,76.12022309100128,0.0,0.0,0.0
