condition,local_k8s_mean_ms,aks_mean_ms,local_k8s_overhead_pct_vs_baseline,aks_overhead_pct_vs_baseline,local_k8s_rank,aks_rank,rank_delta,rank_match
monolithic_k8s_1svc,81.44699327102717,62.22100499799967,0.0,0.0,1,1,0,True
chain_2svc,84.18932542789844,74.69232833000012,3.3670146026701646,20.043590315523495,2,2,0,True
chain_3svc,87.60843166089398,75.97029358600592,7.5649672779984645,22.09750322812734,3,3,0,True
chain_4svc,92.31194689705808,80.62322494599721,13.339907576300744,29.575574918131174,4,4,0,True
chain_5svc,92.62372004601275,83.08939418899489,13.722700281633893,33.53913873886497,5,5,0,True
