LAST SEEN   TYPE     REASON              OBJECT                                                 MESSAGE
72s         Normal   Scheduled           pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Successfully assigned rq21-ms-l1-mtls/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp to aks-rq15pool-53575030-vmss000000
72s         Normal   Scheduled           pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Successfully assigned rq21-ms-l1-mtls/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n to aks-rq15pool-53575030-vmss000000
73s         Normal   ScalingReplicaSet   deployment/chain-2svc-split-l1-mtls-svc-1              Scaled up replica set chain-2svc-split-l1-mtls-svc-1-84fbdcc666 from 0 to 1
73s         Normal   SuccessfulCreate    replicaset/chain-2svc-split-l1-mtls-svc-1-84fbdcc666   Created pod: chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp
72s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
72s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Created container: istio-init
72s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Started container istio-init
72s         Normal   ScalingReplicaSet   deployment/chain-2svc-split-l1-mtls-svc-2              Scaled up replica set chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d from 0 to 1
72s         Normal   SuccessfulCreate    replicaset/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d   Created pod: chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n
72s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Started container istio-init
72s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Created container: istio-init
72s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
71s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Started container istio-proxy
71s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Created container: istio-proxy
71s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
71s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Created container: istio-proxy
71s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Started container istio-proxy
71s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
69s         Normal   Pulling             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
69s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Started container inference
69s         Normal   Pulling             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
69s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 236ms (236ms including waiting). Image size: 413013146 bytes.
69s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Created container: inference
69s         Normal   Started             pod/chain-2svc-split-l1-mtls-svc-2-79b5b9dc9d-fb25n    Started container inference
69s         Normal   Pulled              pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 216ms (216ms including waiting). Image size: 413013146 bytes.
69s         Normal   Created             pod/chain-2svc-split-l1-mtls-svc-1-84fbdcc666-8w6lp    Created container: inference
