paired_pass,execution_order,standard_mean_ms,confidential_mean_ms,delta_mean_ms,delta_mean_pct,standard_median_ms,confidential_median_ms,delta_median_ms,standard_p95_ms,confidential_p95_ms,delta_p95_ms,standard_total_compute_mean_ms,confidential_total_compute_mean_ms,delta_total_compute_mean_ms,standard_non_compute_overhead_mean_ms,confidential_non_compute_overhead_mean_ms,delta_non_compute_overhead_mean_ms
1,confidential->standard,60.0186828300059,62.22264830999961,2.2039654799937125,3.6721323695758548,59.49419699993541,60.942009999962465,1.447813000027054,63.219027149921196,69.62280469996358,6.403777550042385,54.28740854499324,55.461385735008115,1.1739771900148739,5.73127428501266,6.761262574991491,1.0299882899788315
2,standard->confidential,59.06363427500196,63.55933915998094,4.495704884978977,7.611629287908102,58.7238204999494,62.24824749983782,3.5244269998884192,60.27258655003607,71.36117559966806,11.088589049631992,53.56645506999656,56.376896264997775,2.810441195001218,5.497179205005409,7.182442894983154,1.6852636899777451
3,confidential->standard,62.21738153498109,61.40963447999866,-0.8077470549824284,-1.298265910673661,61.226378999890585,61.15948950014172,-0.06688949974886782,68.00791835025848,63.1923057000904,-4.815612650168077,55.732286909988034,54.478959189994065,-1.253327719993969,6.485094624993053,6.9306752900045865,0.4455806650115335
4,standard->confidential,59.19263578000027,62.18694845500522,2.9943126750049487,5.058589866033053,58.94058749981923,61.89569800017125,2.9551105003520206,60.676882999973714,64.83780360031233,4.160920600338613,53.25375066999924,55.25293908001742,1.9991884100181778,5.938885110001024,6.934009374987795,0.9951242649867709
5,confidential->standard,60.528794274955544,61.93795792501987,1.409163650064329,2.3280880892210103,60.51972599971123,61.34339800064481,0.8236720009335841,62.346217399954185,66.07675049972386,3.730533099769673,54.197422080039814,54.88237643993245,0.684954359892636,6.33137219491573,7.05558148508743,0.7242092901717001
