condition_key,condition_name,service2_vm_size,service2_nodepool,service2_zone,iteration_count,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,std_latency_ms,mean_latency_ci95_margin_ms,throughput_req_per_s,passes_covered,end_to_end_ms_mean,end_to_end_ms_median,end_to_end_ms_p95,end_to_end_ms_std,total_compute_ms_mean,total_compute_ms_median,total_compute_ms_p95,total_compute_ms_std,non_compute_overhead_ms_mean,non_compute_overhead_ms_median,non_compute_overhead_ms_p95,non_compute_overhead_ms_std,hop_1_compute_ms_mean,hop_1_compute_ms_median,hop_1_compute_ms_p95,hop_1_compute_ms_std,hop_1_forward_ms_mean,hop_1_forward_ms_median,hop_1_forward_ms_p95,hop_1_forward_ms_std,hop_2_compute_ms_mean,hop_2_compute_ms_median,hop_2_compute_ms_p95,hop_2_compute_ms_std,hop_2_forward_ms_mean,hop_2_forward_ms_median,hop_2_forward_ms_p95,hop_2_forward_ms_std
confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1000,62.26330566600086,61.46244349997687,67.83163065007328,72.97465031006823,2.5684949229728185,0.15938714501723894,16.060824097009906,"1,2,3,4,5",62.26330566600086,61.46244349997687,67.83163065007328,2.5684949229728185,55.29051134198997,54.476099500021746,60.56723889998352,2.337903015381482,6.972794324010891,6.872861499914507,7.751706299779926,0.629512503929924,30.520538951989916,30.167450999897483,32.76045084992347,1.0137635635563682,29.422884588004084,28.73348850016555,33.87221265024891,2.3115339338172607,24.769972390000046,24.129292000012015,29.020738899983197,2.1083114117899,0.0,0.0,0.0,0.0
standard,chain_2svc_mtls_standard,Standard_D8as_v5,r22s2std,1,1000,60.20422573898896,59.63145800001257,63.98210264967474,70.69972237006368,2.2429278514454114,0.13918418273833483,16.61012973300956,"1,2,3,4,5",60.20422573898896,59.63145800001257,63.98210264967474,2.2429278514454114,54.20746465500338,53.72476600007303,57.5834974498207,1.9428160233237648,5.996761083985575,5.9118909999256175,6.884927850023814,0.5551810226105216,30.328777789003652,30.11588000026677,31.650897600036387,1.1492652085375101,27.57206895298532,27.15762099978747,29.91382364975834,1.599161559475847,23.878686865999722,23.522313999990274,25.922244400067026,1.4650411928681473,0.0,0.0,0.0,0.0
