paired_pass,execution_index,condition_key,condition_name,service2_vm_size,service2_nodepool,service2_zone,round,iteration,end_to_end_ms,total_compute_ms,non_compute_overhead_ms,total_activation_bytes,num_hops,hop_1_compute_ms,hop_1_forward_ms,hop_2_compute_ms,hop_2_forward_ms,source_raw_iterations
1,1,confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1,14,60.239909000074476,53.775881999911235,6.464027000163242,1003520,1,29.726823999908447,28.2755079999788,24.049058000002788,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260502_200835\conditions\pass01_01_chain_2svc_mtls_confidential_service2\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1,15,60.48914300004071,54.001645999875336,6.4874970001653764,1003520,1,29.841185999885056,28.36179899986746,24.16045999999028,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260502_200835\conditions\pass01_01_chain_2svc_mtls_confidential_service2\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1,16,60.055787999999666,53.61687800001391,6.4389099999857535,1003520,1,29.773320999993302,28.06455600011759,23.84355700002061,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260502_200835\conditions\pass01_01_chain_2svc_mtls_confidential_service2\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1,17,60.129404000008435,53.5764369998617,6.552967000146737,1003520,1,29.72467999984474,28.225044000009802,23.85175700001696,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260502_200835\conditions\pass01_01_chain_2svc_mtls_confidential_service2\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1,18,61.08824500006449,54.165671000077964,6.9225739999865255,1003520,1,29.84351100008098,29.01683499999308,24.322159999996984,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260502_200835\conditions\pass01_01_chain_2svc_mtls_confidential_service2\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1,19,61.62217700011752,54.10413499981814,7.518042000299374,1003520,1,30.170276999797352,29.062529999919207,23.93385800002079,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260502_200835\conditions\pass01_01_chain_2svc_mtls_confidential_service2\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1,20,60.935293999818896,53.555678000179796,7.3796159996391,1003520,1,30.038123000167616,28.651885000044786,23.51755500001218,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260502_200835\conditions\pass01_01_chain_2svc_mtls_confidential_service2\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1,21,59.88888700017014,53.56095699994512,6.327930000225024,1003520,1,30.102301999932024,27.505708000035156,23.458655000013096,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260502_200835\conditions\pass01_01_chain_2svc_mtls_confidential_service2\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1,22,61.31458799995926,54.543137999928604,6.771450000030654,1003520,1,29.980176999970354,29.067748999977994,24.56296099995825,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260502_200835\conditions\pass01_01_chain_2svc_mtls_confidential_service2\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_service2,Standard_DC8as_v5,r22s2cvm,1,1,23,60.457533999851876,53.70640900014223,6.751124999709646,1003520,1,30.135954000115817,28.061904999958642,23.570455000026413,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260502_200835\conditions\pass01_01_chain_2svc_mtls_confidential_service2\benchmark\raw_iterations.csv
