LAST SEEN   TYPE     REASON      OBJECT                              MESSAGE
71s         Normal   Scheduled   pod/benchmark-client                Successfully assigned rq21-ms-l3-mtls-client/benchmark-client to aks-rq15pool-53575030-vmss000000
56s         Normal   Scheduled   pod/rq21-ms-direct-20260516110358   Successfully assigned rq21-ms-l3-mtls-client/rq21-ms-direct-20260516110358 to aks-rq15pool-53575030-vmss000000
71s         Normal   Pulling     pod/benchmark-client                Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
71s         Normal   Pulled      pod/benchmark-client                Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 155ms (155ms including waiting). Image size: 413013146 bytes.
71s         Normal   Created     pod/benchmark-client                Created container: client
71s         Normal   Started     pod/benchmark-client                Started container client
56s         Normal   Pulling     pod/rq21-ms-direct-20260516110358   Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
56s         Normal   Pulled      pod/rq21-ms-direct-20260516110358   Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 230ms (230ms including waiting). Image size: 413013146 bytes.
56s         Normal   Created     pod/rq21-ms-direct-20260516110358   Created container: debug
56s         Normal   Started     pod/rq21-ms-direct-20260516110358   Started container debug
47s         Normal   Killing     pod/rq21-ms-direct-20260516110358   Stopping container debug
