round,condition,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms
1,chain_2svc,200,73.37902196498817,73.02110399996309,1.7341502978098045,70.60664099981295,81.39856499997222,75.67369014988115
1,chain_3svc,200,75.24120277000407,75.04195599995,1.392954361432243,73.15779900000052,86.0153139999511,77.27570234998211
1,chain_4svc,200,79.56646016499349,79.2611129999159,1.5482086207892278,76.90419400000792,88.25496300005398,82.48876210001299
1,chain_5svc,200,81.52694440998971,80.99626499995338,2.0098544473210276,79.1308590000881,99.2157870000483,84.78339314983714
1,monolithic_k8s_1svc,200,69.33870372000456,69.03284750001148,1.7279772512446496,66.45042399998147,79.86015500000576,72.0131639999579
2,chain_2svc,200,73.03159460000302,72.69611499998518,1.5378852332766677,71.02997099991626,82.61786000002758,76.051967999922
2,chain_3svc,200,75.18572402499444,74.93172700014838,1.1679314291968201,73.41506300008405,81.12758500010386,77.40725499991186
2,chain_4svc,200,79.16027332999306,78.67622699995991,1.9924499415424313,76.66318000019601,89.53175999999985,83.081800950049
2,chain_5svc,200,81.19024807000528,80.80231050007569,1.5940214739000818,79.00009699983457,90.95802999991065,83.79111099987995
2,monolithic_k8s_1svc,200,69.97257391500341,69.73804900002278,1.7773667228481713,66.49849999996604,75.92903700003717,72.92195605001552
3,chain_2svc,200,72.56227584000271,72.28101249995689,1.4237820394167924,70.5167190001248,81.4661070000966,74.56932500008406
3,chain_3svc,200,75.83229107500301,75.40992500003085,1.6831766509356636,73.36632700003065,86.27091500011375,79.32858599998553
3,chain_4svc,200,79.22020483500432,78.54777099998955,2.0321134103643583,76.66091100008998,91.25966600004176,83.16583725010105
3,chain_5svc,200,81.19828052000116,80.82156649993522,1.748416790518607,78.30521899995802,91.55780600008256,84.14932370000088
3,monolithic_k8s_1svc,200,70.25182189499674,70.04434899999978,1.770997747340184,67.01695099991412,78.37964400005148,73.24868989995252
4,chain_2svc,200,73.54252451000548,72.92469899994103,2.2860241330015594,70.83558900012576,86.6313659998923,77.8235139000685
4,chain_3svc,200,75.76659812000685,75.52179300000716,1.4119745485201685,73.59029600002032,87.65570600007777,78.03849199983688
4,chain_4svc,200,79.37529493999705,79.14389500001562,1.623389985892624,76.57569899993177,89.6116809999512,81.78368200005934
4,chain_5svc,200,81.15581074499914,80.82226849990093,1.4308838766043357,78.82152000001952,87.14991300007568,84.15733804988577
4,monolithic_k8s_1svc,200,70.69532682499982,69.90089600003557,3.6301780585443377,67.06684799996765,102.28341999993518,74.56063224998957
5,chain_2svc,200,74.52359319499237,74.19753450005828,2.090956267883705,71.0722359999636,86.73868500000026,78.10601994985973
5,chain_3svc,200,75.93719208499692,75.71330799987663,1.3874390352331456,73.28921399994215,81.7202929999894,78.2867295499841
5,chain_4svc,200,79.38833368499445,79.1921850000108,1.3368529608602608,77.22493999995095,86.85331199990287,82.14318579990731
5,chain_5svc,200,80.78911590500752,80.54766949999248,1.341733140042051,78.74782099997901,88.08421100002306,83.47587195014512
5,monolithic_k8s_1svc,200,70.33124802000088,70.06990200000018,1.5903825026305256,67.37219899991942,75.81958600007965,73.21971899997948
