condition,aks_singlenode_mean_ms,aks_multinode_mean_ms,aks_singlenode_overhead_pct_vs_baseline,aks_multinode_overhead_pct_vs_baseline,aks_singlenode_rank,aks_multinode_rank,rank_delta,rank_match
monolithic_k8s_1svc,57.96304916599956,70.11793487500108,0.0,0.0,1,1,0,True
chain_2svc,63.36717041199893,73.40780202199836,9.323390200751144,4.691905363245668,2,2,0,True
chain_3svc,66.54333341499499,75.59260161500107,14.803024292980997,7.807798033070501,3,3,0,True
chain_4svc,70.69803951500103,79.34211339099647,21.970877192001947,13.155234152915785,4,4,0,True
chain_5svc,71.4798404910007,81.17207993000056,23.319669202168086,15.765075047782931,5,5,0,True
