condition,split_mean_ms,baseline_condition,monolith_mean_ms,overhead_ms,overhead_pct,activation_bytes,service_a_compute_ms,service_b_compute_ms,boundary_crossing_ms,total_compute_ms,num_hops
chain_2svc,73.40780202199836,monolithic_k8s_1svc,70.11793487500108,3.289867146997281,4.691905363245668,1003520.0,0,0,5.421329871001944,67.98647215099642,1.0
chain_3svc,75.59260161500107,monolithic_k8s_1svc,70.11793487500108,5.474666739999989,7.807798033070501,1605632.0,0,0,8.161729200003037,67.43087241499802,2.0
chain_4svc,79.34211339099647,monolithic_k8s_1svc,70.11793487500108,9.22417851599539,13.155234152915785,2007040.0,0,0,10.813893052995127,68.52822033800135,3.0
chain_5svc,81.17207993000056,monolithic_k8s_1svc,70.11793487500108,11.05414505499948,15.765075047782931,2107392.0,0,0,12.803705314992158,68.3683746150084,4.0
