condition,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p25_ms,p75_ms,p95_ms,p99_ms,ci95_lower_ms,ci95_upper_ms,total_compute_ms_mean,non_compute_overhead_ms_mean,boundary_crossing_ms_mean,total_activation_bytes_mean,activation_bytes_mean,num_hops_mean
monolithic_k8s_1svc,1000,81.44699327102717,79.64769049976894,4.0605859054016,76.53624299928197,97.25911499845097,77.51983874986763,78.33140200091293,84.8970465021921,89.44442590018298,92.98350467772252,81.19501488914658,81.69897165290776,77.90448658297464,3.5425066880525264,3.5425066880525264,602112.0,602112.0,1.0
chain_2svc,1000,84.18932542789844,82.88020949839847,3.2936031568291764,79.83374999821535,97.43553499720292,80.79208970211766,81.83462749911996,85.8900729999732,90.53759210182761,92.76804823119164,83.98494191937307,84.3937089364238,77.90450848486216,6.284816943036276,6.284816943036276,1003520.0,1003520.0,1.0
chain_3svc,1000,87.60843166089398,85.4865624987724,4.2742782505219195,83.24761200128705,109.93098499966436,84.04561700026534,84.77145350207138,89.79953300149646,96.0834530498687,101.13588807042105,87.34319266771293,87.87367065407504,77.96261642996615,9.645815230927838,9.645815230927838,1605632.0,1605632.0,2.0
chain_4svc,1000,92.31194689705808,90.59419150071335,4.942028053186488,86.57096000024467,126.29063700296683,87.63354545080801,88.73418450184545,95.12702300071396,101.22276220190543,108.48911254193807,92.0052708997854,92.61862289433076,80.080820611136,12.231126285922073,12.231126285922073,2007040.0,2007040.0,3.0
chain_5svc,1000,92.62372004601275,90.31161249913566,4.3175726683945905,87.59511899916106,122.41567900127848,88.70499859967822,89.51426449857536,97.35080074915459,99.3983288484742,101.62612613039528,92.35579443134057,92.89164566068493,78.73041820491926,13.89330184109349,13.89330184109349,2107392.0,2107392.0,4.0
