condition,split_mean_ms,baseline_condition,monolith_mean_ms,overhead_ms,overhead_pct,activation_bytes,service_a_compute_ms,service_b_compute_ms,boundary_crossing_ms,total_compute_ms,num_hops
chain_2svc,84.18932542789844,monolithic_k8s_1svc,81.44699327102717,2.742332156871271,3.3670146026701646,1003520.0,0,0,6.284816943036276,77.90450848486216,1.0
chain_3svc,87.60843166089398,monolithic_k8s_1svc,81.44699327102717,6.161438389866817,7.5649672779984645,1605632.0,0,0,9.645815230927838,77.96261642996615,2.0
chain_4svc,92.31194689705808,monolithic_k8s_1svc,81.44699327102717,10.86495362603091,13.339907576300744,2007040.0,0,0,12.231126285922073,80.080820611136,3.0
chain_5svc,92.62372004601275,monolithic_k8s_1svc,81.44699327102717,11.176726774985582,13.722700281633893,2107392.0,0,0,13.89330184109349,78.73041820491926,4.0
