condition_key,condition,n,mean_ms,median_ms,p95_ms,p99_ms,non_compute_overhead_ms_mean,total_compute_ms_mean,total_activation_bytes_mean,hop_1_activation_bytes_mean,hop_2_activation_bytes_mean,hop_3_activation_bytes_mean,hop_4_activation_bytes_mean,hop_5_activation_bytes_mean,hop_1_forward_ms_mean,hop_2_forward_ms_mean,hop_3_forward_ms_mean,hop_4_forward_ms_mean,hop_5_forward_ms_mean,security_validation_passed,resource_metrics_available,resource_metrics_reason,resource_sample_count,sidecar_sample_row_count,sidecar_metrics_available,resource_passes_covered,operational_passes_covered,service_app_cpu_mcores_mean,sidecar_cpu_mcores_mean,total_pod_cpu_mcores_mean,service_app_memory_mib_mean,sidecar_memory_mib_mean,total_pod_memory_mib_mean,client_cpu_mcores_mean,client_memory_mib_mean,service_scheduling_delay_seconds_mean,service_schedule_to_ready_seconds_mean,service_app_started_delay_seconds_mean,service_sidecar_started_delay_seconds_mean,service_failed_scheduling_event_count,service_app_requested_cpu_mcores_total,service_sidecar_requested_cpu_mcores_total,service_total_requested_cpu_mcores_total,service_app_requested_memory_mib_total,service_sidecar_requested_memory_mib_total,service_total_requested_memory_mib_total,benchmark_requested_cpu_mcores_total,benchmark_requested_memory_mib_total,node_request_headroom_cpu_mcores,node_request_headroom_memory_mib,deployment_kubernetes_object_count,deployment_service_account_count,deployment_peer_authentication_count,deployment_authorization_policy_count,deployment_control_plane_pod_count,deployment_injected_container_count,control_plane_shares_benchmark_node,control_plane_shared_node_names,control_plane_shared_pod_names
plain,chain_5svc_plain,1000,76.69316789299995,76.23482900010004,79.91813695002747,84.08905068985405,9.726628656999765,66.96653923600023,2107392.0,602112.0,802816.0,401408.0,200704.0,100352.0,48.4690054290019,34.203926052998504,19.888696437000817,1.91690816299365,0.0,,True,,33,0,False,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",564.2940230300461,0.0,564.2940230300461,1944.4848484848485,0.0,1944.4848484848485,147.77036877792474,0.0,0.0,7.2,0.6799999999999999,,0,5000.0,0.0,5000.0,5120.0,0.0,5120.0,5100.0,6144.0,2720.0,23595.765625,14,,,,0,0,False,[],[]
mtls,chain_5svc_mtls,1000,85.70165645900886,85.11237400000482,89.94660524988376,93.85179872993149,18.164162571009,67.5374938879998,2107392.0,602112.0,802816.0,401408.0,200704.0,100352.0,56.47910376599664,39.4088560469984,23.047937733999795,3.34260326099934,0.0,True,True,,35,175,True,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",554.6342022901987,82.14072095345186,636.7749232436505,1989.2285714285715,222.68571428571428,2211.9142857142856,140.58643889259537,30.4,0.0,26.48,19.159999999999997,2.2399999999999998,0,5000.0,500.0,5500.0,5120.0,640.0,5760.0,5600.0,6784.0,2220.0,22955.765625,28,5,5,4,3,5,False,[],[]
