round,condition,iteration,end_to_end_ms,total_compute_ms,non_compute_overhead_ms,total_activation_bytes,num_hops,hop_1_compute_ms,hop_1_deserialize_ms,hop_1_serialize_ms,hop_1_forward_ms,hop_1_activation_bytes,hop_2_compute_ms,hop_2_deserialize_ms,hop_2_serialize_ms,hop_2_forward_ms,hop_2_activation_bytes,hop_3_compute_ms,hop_3_deserialize_ms,hop_3_serialize_ms,hop_3_forward_ms,hop_3_activation_bytes,hop_4_compute_ms,hop_4_deserialize_ms,hop_4_serialize_ms,hop_4_forward_ms,hop_4_activation_bytes,hop_5_compute_ms,hop_5_deserialize_ms,hop_5_serialize_ms,hop_5_forward_ms,hop_5_activation_bytes,paired_pass,condition_key,execution_index
1,chain_2svc_mtls,1,71.94071200001417,64.98011700000461,6.960595000009562,1003520,1,36.973840999962704,0.1958969999122928,0.05129900000611087,31.929216999969867,602112,28.006276000041908,0.14899799998602248,0.025599999844416743,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,2,72.50180400001227,65.56130899980417,6.940495000208102,1003520,1,37.227237000024616,0.18929699990621884,0.04749999993691745,32.36361099993701,602112,28.334071999779553,0.15359700000772136,0.027299000066705048,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,3,71.74691499994879,64.922217000003,6.8246979999457835,1003520,1,36.85334199985846,0.22789700005887426,0.05350000014914258,32.06151500012311,602112,28.068875000144544,0.15099799998097296,0.02759999983936723,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,4,72.1314090001215,65.2052140003434,6.92619499977809,1003520,1,37.02394000015374,0.20349700002952886,0.05279999982121808,32.10801399995944,602112,28.18127400018966,0.14949699993849208,0.02669999980753346,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,5,73.426088999895,66.49299500008965,6.933093999805351,1003520,1,37.11063900004774,0.19059700002799218,0.05119899992678256,33.46319299998868,602112,29.38235600004191,0.15189800001280673,0.026298999955542968,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,6,71.83731300006002,64.99991700002283,6.837396000037188,1003520,1,36.92904100012129,0.20199699997647258,0.07099899994500447,32.0049150000159,602112,28.070875999901546,0.14829700012342073,0.02559900008236582,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,7,71.68321599988303,64.96231699975397,6.720899000129066,1003520,1,37.0253399999001,0.18979700007548672,0.05259900012788421,31.827117999910115,602112,27.93697699985387,0.1578979999976582,0.02700000004551839,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,8,74.47517399987191,67.18158399985441,7.2935900000175025,1003520,1,37.352435000002515,0.19909699994968832,0.05029900012232247,34.16728299998795,602112,29.829148999851895,0.16299800017804955,0.02689899997676548,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,9,73.42328999993697,66.31949699999495,7.103792999942016,1003520,1,37.60373099999015,0.19609699984357576,0.051399000085439184,32.87410300004012,602112,28.715766000004805,0.15599699986523774,0.026699000045482535,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,10,80.14218799985429,72.68780100002914,7.454386999825147,1003520,1,44.805923000012626,0.19089700003860344,0.05079900006421667,32.376510999938546,602112,27.881878000016513,0.1459979998799099,0.02599999993435631,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,11,71.74461499994322,64.68272100005379,7.061893999889435,1003520,1,36.90104199995403,0.19339699997544813,0.04619900005309319,31.863218000125926,602112,27.781679000099757,0.17939800000021933,0.02769999991869554,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,12,72.29820699990341,65.05791500012492,7.240291999778492,1003520,1,36.99974000005568,0.1916979999805335,0.05019900004299416,32.30221099988739,602112,28.05817500006924,0.154798000039591,0.027399999908084283,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,13,72.31140600015351,65.22511399975883,7.086292000394678,1003520,1,36.89654199979486,0.20809700004065235,0.05159900001672213,32.46090900006493,602112,28.32857199996397,0.15109700007087667,0.02509999990252254,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,14,71.90761200013185,65.00821700001325,6.899395000118602,1003520,1,36.961940999844956,0.19909699994968832,0.05090000013296958,31.964015999847106,602112,28.04627600016829,0.15469799996026268,0.025698999934320454,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,15,72.91989700001977,65.5789080001341,7.340988999885667,1003520,1,37.33393500010607,0.22789700005887426,0.05029899989494879,32.5647070001196,602112,28.24497300002804,0.14769800009162282,0.02939899991361017,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,16,73.83978299981209,66.81308999986868,7.026692999943407,1003520,1,38.628615999869,0.20939700016242568,0.05209900018599001,32.239512999922226,602112,28.184473999999682,0.15759699999762233,0.02650000010362419,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,17,72.93199699984143,65.76380499973311,7.16819200010832,1003520,1,37.69072999989476,0.19049700017603755,0.05879900004401861,32.163912999976674,602112,28.073074999838354,0.1661979999880714,0.02570000015111873,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,18,72.25980700013679,65.21121300011146,7.048594000025332,1003520,1,37.05093899998246,0.19359700013410475,0.04760000001624576,32.23081300006925,602112,28.160274000128993,0.149598000007245,0.026400000024295878,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,19,73.49998899985621,66.23899799978972,7.260991000066497,1003520,1,37.19363699997302,0.19609700007094943,0.050998999995499616,33.30589600000167,602112,29.045360999816694,0.15399700009766093,0.02560000007179042,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,20,72.64440200015088,65.36831100015661,7.276090999994267,1003520,1,37.21153700007562,0.19729699988602079,0.0525000000379805,32.53640799994173,602112,28.156774000080986,0.15849699980208243,0.026800000114235445,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,21,72.856498000192,65.62860700000783,7.227891000184172,1003520,1,36.94384100003845,0.1901970001654263,0.04769999986820039,32.9974010001024,602112,28.684765999969386,0.14869699998598662,0.0266000001829525,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,22,73.53328700014572,66.34429699988686,7.188990000258855,1003520,1,37.51253299992641,0.19009700008609798,0.04979899995305459,33.113298999978724,602112,28.831763999960458,0.15079800004969002,0.027098999908048427,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,23,72.2387069999968,65.21701399992708,7.0216930000697175,1003520,1,37.156037999920954,0.19559699990168156,0.04819900004804367,32.19541299995399,602112,28.06097600000612,0.14949699993849208,0.026699000045482535,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,24,73.40658899988739,66.32399699992675,7.082591999960641,1003520,1,37.5507319999997,0.20009699983347673,0.04750000016429112,32.966102000045794,602112,28.77326499992705,0.14839799996479996,0.025698999934320454,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,25,73.44618899992383,66.33569700011321,7.11049199981062,1003520,1,37.22863699999834,0.23219700005938648,0.04919899993183208,33.23959800013654,602112,29.10706000011487,0.1527970000552159,0.026499999876250513,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,26,72.65820100019482,65.35281199990095,7.3053890002938715,1003520,1,37.361834999956045,0.21279700013110414,0.04569899988382531,32.29851100013548,602112,27.990976999944905,0.146997999991072,0.027198999987376737,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,27,72.66720099983104,65.46080900011475,7.206391999716288,1003520,1,36.82974200000899,0.18789799992191547,0.048900000138019095,32.870703000071444,602112,28.63106700010576,0.16009799992389162,0.02669899981810886,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,28,72.90019700008088,65.49860899986015,7.401588000220727,1003520,1,37.14033799997196,0.2253969998946559,0.05319900014910672,32.486807999930534,602112,28.35827099988819,0.16249700001935707,0.026300000172341242,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,29,72.70649999986745,65.56720799994764,7.139291999919806,1003520,1,37.1300379999866,0.2140970000255038,0.052698999979838845,32.40130999984103,602112,28.437169999961043,0.14899699999659788,0.02700000004551839,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
1,chain_2svc_mtls,30,72.60540200013565,65.30341199982104,7.301990000314618,1003520,1,37.53383200000826,0.18179700009568478,0.04939899986311502,32.102114000053916,602112,27.769579999812777,0.14279700008046348,0.026400000024295878,0.0,401408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,mtls,1
