paired_pass,execution_index,condition_key,condition_name,tee_scope,service1_vm_size,service1_nodepool,service1_confidential,service2_vm_size,service2_nodepool,service2_confidential,service2_zone,round,iteration,end_to_end_ms,total_compute_ms,non_compute_overhead_ms,total_activation_bytes,num_hops,hop_1_compute_ms,hop_1_forward_ms,hop_2_compute_ms,hop_2_forward_ms,source_raw_iterations
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,14,62.78795799994441,53.759840000026315,9.028117999918095,1003520,1,29.923408000001928,28.962197999987893,23.836432000024388,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,15,63.08532100001685,53.89284000003158,9.192480999985264,1003520,1,30.326712000032785,28.59949300000153,23.5661279999988,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,16,63.38180299985652,54.035343999970564,9.346458999885954,1003520,1,29.906107999977394,29.424702000028446,24.12923599999317,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,17,61.75561800000651,53.67363799996383,8.081980000042677,1003520,1,29.98400799998535,27.88348600000745,23.68962999997848,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,18,62.61286299991298,53.57753700002377,9.03532599988921,1003520,1,29.978408000033596,28.846095999995214,23.59912899999017,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,19,62.7823580000495,53.636938000011014,9.145420000038484,1003520,1,29.74680500000204,29.057898000019122,23.890133000008973,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,20,69.9156140001378,55.746960999982775,14.168653000155018,1003520,1,31.602524999982506,34.01235000001179,24.14443600000027,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,21,62.74555999993936,53.82363999999029,8.921919999949068,1003520,1,29.929406999997354,28.778994999981933,23.894232999992937,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,22,61.92954099992676,53.27013399997327,8.65940699995349,1003520,1,29.6796049999557,28.500593000046592,23.59052900001757,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,23,62.29539300011311,53.858742000016946,8.436651000096163,1003520,1,29.718305000017153,28.561192999973173,24.140436999999793,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,24,63.528095000037865,53.83453899997903,9.693556000058834,1003520,1,30.27791099998467,29.405001999975866,23.55662799999436,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,25,61.68864400001439,53.32113399995819,8.3675100000562,1003520,1,29.869006999945213,28.06588800001464,23.45212700001298,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,26,62.02102199995352,53.30173199999422,8.719289999959301,1003520,1,30.003507999992962,28.18139000004294,23.298224000001255,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,27,63.18044900012865,54.186743999991904,8.993705000136742,1003520,1,30.218009999998685,29.082598000002235,23.96873399999322,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,28,63.80236400013928,53.921040999995284,9.881323000143993,1003520,1,29.99330799997324,29.87140699997326,23.927733000022045,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,29,64.39749099990877,53.85554000002912,10.541950999879646,1003520,1,30.452913000033277,30.134110000005876,23.402626999995846,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,30,66.54273200001626,57.07347300003107,9.469258999985186,1003520,1,33.39954300003001,29.209900000012112,23.673930000001064,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,31,63.387493000163886,53.77483899999902,9.612654000164866,1003520,1,30.027807999999823,28.923396999971374,23.747030999999197,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,32,62.80439700003626,53.78253999998606,9.021857000050204,1003520,1,29.772205999961443,29.163498999992044,24.010334000024613,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,33,61.888735000138695,53.087331000028826,8.80140400010987,1003520,1,29.69130500002848,28.430891999960295,23.396026000000347,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,34,62.706556000193814,53.615135000001146,9.091421000192668,1003520,1,30.3200110000148,27.621382999996058,23.295123999986345,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,35,65.79840599988529,53.74533799997039,12.053067999914902,1003520,1,30.045907999976862,31.873027000017373,23.699429999993527,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,36,63.510932999861325,54.1226419999532,9.388290999908122,1003520,1,30.586413999969864,28.541794000034315,23.53622799998334,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,37,62.04634799996711,53.48303500002771,8.563312999939399,1003520,1,30.052708000027906,28.09748900000386,23.430326999999807,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,38,62.92847100007748,54.77395300002286,8.154518000054622,1003520,1,30.225711000014144,28.983498000002328,24.548242000008713,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,39,62.78318899990154,54.15514599999938,8.628042999902164,1003520,1,29.703905000019404,29.19279899998628,24.451240999979973,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,40,61.585451000155444,53.354034999983924,8.23141600017152,1003520,1,29.780705999996826,27.972087999955875,23.573328999987098,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,41,62.91438400012339,53.1983319999938,9.716052000129594,1003520,1,29.762204999997266,29.336101000012604,23.43612699999653,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
