round,condition,n,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms
1,chain_2svc,200,62.833901179996595,62.62857299998359,2.4877320820594035,58.805981999967116,74.28537099997357,67.48907565003037
1,chain_3svc,200,65.93312383499324,65.36800899993978,2.702719870216947,61.119005000136895,77.16301100003875,71.10171514992771
1,chain_4svc,200,70.87696539000717,70.23966950009708,3.4607161120321472,66.43369599987636,95.99453999999241,76.43700349987057
1,chain_5svc,200,70.62886811999647,70.29917299996669,2.6296551984760064,65.96853099995315,81.39668699982394,76.1360325001192
1,monolithic_k8s_1svc,200,56.966490110000905,56.6397460000303,2.46136578070138,52.821744999960174,74.901207000039,60.886844149968056
2,chain_2svc,200,63.00445605999756,62.66912000000957,2.5013471396680735,58.87948500003404,78.65925700002663,67.0098601000177
2,chain_3svc,200,66.66961388999425,66.25381250000828,2.7258115902568005,60.95132900009048,78.57477100014876,71.02549565013305
2,chain_4svc,200,69.06016183498764,68.49594599998454,2.7403370077250213,64.40264100001514,83.5259949999454,73.53172435005035
2,chain_5svc,200,70.77407552000295,70.4358930000808,2.6070005987773612,64.26215799979218,81.2945560001026,74.77449230007096
2,monolithic_k8s_1svc,200,56.91635102999726,56.67362899998807,2.7376609667320513,51.147897999953784,70.68828199999189,61.65091960003224
3,chain_2svc,200,64.03169766499559,63.53954999991629,2.3220836167864887,59.82880700003079,79.74430799993115,68.0441341499602
3,chain_3svc,200,66.13534947499943,65.3774010000916,3.554802995813944,61.02844999986701,83.22139100005188,72.07148084991103
3,chain_4svc,200,70.71039693000557,70.00655750016449,3.440507694112348,65.66328100007013,88.76027199994496,77.86716845008641
3,chain_5svc,200,71.55629391499929,70.9862345000829,3.139920542207026,66.88394999991942,92.75219700020898,75.73445044992013
3,monolithic_k8s_1svc,200,59.109834405002175,59.12377900000365,2.8879510638941888,52.348420000043916,73.39623600000778,63.64539174994093
4,chain_2svc,200,63.355816625002035,63.092243499966116,2.54316717308738,58.38097599996672,75.74391400009972,67.78733805005572
4,chain_3svc,200,67.15453418499237,66.92273350006417,2.7508514731096123,61.2568410001586,86.15767599985702,70.76706799998647
4,chain_4svc,200,70.94467902500355,70.33482200006347,3.239913438346991,66.2950670000555,89.22354399987853,76.35530205003533
4,chain_5svc,200,71.31882526500362,70.67875999996431,2.9687482185691567,65.87396800000533,84.3097829999806,76.33509825006968
4,monolithic_k8s_1svc,200,57.18117263499721,57.12758749996283,2.160736149180571,52.30552099999386,65.48415400004615,60.710881750009094
5,chain_2svc,200,63.609980530002865,63.20623850007223,2.3216726619233254,59.66799999998784,77.38632799998868,67.83280179997178
5,chain_3svc,200,66.82404568999573,66.33230049988015,2.7974398709828048,62.417852999942625,79.09966799979884,71.13765924998461
5,chain_4svc,200,71.8979943950012,71.55534900005023,2.9471039539176394,66.40371399998912,83.88656500005709,77.10006504986494
5,chain_5svc,200,73.1211396350011,72.55796799984182,3.634219060300415,66.31471600007899,94.81555299998945,79.22946424995413
5,monolithic_k8s_1svc,200,59.64139765000027,59.19799349999266,2.5717742871004297,53.89126000000033,74.51477900008285,63.57540765005182
