condition,local_k8s_mean_ms,aks_mean_ms,local_k8s_overhead_pct_vs_baseline,aks_overhead_pct_vs_baseline,local_k8s_rank,aks_rank,rank_delta,rank_match
monolithic_k8s_1svc,81.44699327102717,57.96304916599956,0.0,0.0,1,1,0,True
chain_2svc,84.18932542789844,63.36717041199893,3.3670146026701646,9.323390200751144,2,2,0,True
chain_3svc,87.60843166089398,66.54333341499499,7.5649672779984645,14.803024292980997,3,3,0,True
chain_4svc,92.31194689705808,70.69803951500103,13.339907576300744,21.970877192001947,4,4,0,True
chain_5svc,92.62372004601275,71.4798404910007,13.722700281633893,23.319669202168086,5,5,0,True
